Participant id,Status,Started at,Completed at,Time taken,Total approvals,Fluent languages,Dyslexia,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
participant_700,APPROVED,2025-03-28T08:04:06.562000Z,2025-03-28T08:20:09.193000Z,963.0,330,English,No,39,Female,White,South Africa,South Africa,South Africa,English,No,Full-Time
participant_694,TIMED-OUT,2025-03-28T08:04:15.421000Z,,545958.0,13,English,No,22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
participant_681,APPROVED,2025-03-28T08:04:41.659000Z,2025-03-28T08:19:27.016000Z,886.0,0,"English, Afrikaans",No,55,Female,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time
participant_678,TIMED-OUT,2025-03-28T08:04:26.632000Z,,545946.0,48,English,No,26,Male,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
participant_674,APPROVED,2025-03-28T08:06:35.479000Z,2025-03-28T08:23:36.362000Z,1021.0,376,"Greek, English",No,24,Male,Mixed,Greece,Greece,Greece,Greek,Yes,Unemployed (and job seeking)
participant_682,APPROVED,2025-03-28T08:07:12.912000Z,2025-03-28T08:18:40.716000Z,688.0,389,"Hungarian, English",No,31,Female,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
participant_687,APPROVED,2025-03-28T08:08:26.339000Z,2025-03-28T08:24:51.378000Z,986.0,882,"Afrikaans, English",No,58,Male,White,South Africa,South Africa,South Africa,Afrikaans,No,Full-Time
participant_675,APPROVED,2025-03-28T08:08:33.610000Z,2025-03-28T08:18:57.729000Z,625.0,1123,"English, Arabic, Italian",No,28,Female,Other,Italy,Italy,Italy,Italian,Yes,Full-Time
participant_701,APPROVED,2025-03-28T08:10:11.299000Z,2025-03-28T08:33:27.735000Z,1397.0,200,"English, Hungarian",No,26,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Full-Time
participant_685,APPROVED,2025-03-28T08:17:03.485000Z,2025-03-28T08:26:46.910000Z,584.0,475,English,No,47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
participant_679,APPROVED,2025-03-28T08:10:25.314000Z,2025-03-28T08:23:58.680000Z,814.0,605,English,No,34,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,Full-Time
participant_680,APPROVED,2025-03-28T08:12:37.162000Z,2025-03-28T08:26:00.612000Z,804.0,939,English,No,29,Male,Mixed,United States,United States,United States,English,No,DATA_EXPIRED
participant_697,APPROVED,2025-03-28T08:14:42.898000Z,2025-03-28T08:24:15.257000Z,573.0,96,"Afrikaans, English",No,28,Male,Mixed,South Africa,South Africa,South Africa,English,No,Other
