id;session;timestamp;experiment;data.url;data.meta;data.sender;data.sender_type;data.sender_id;data.consent;data.share;data.;data.ended_on;data.duration;data.time_run;data.time_render;data.time_show;data.time_end;data.time_commit;data.timestamp;data.time_switch;data.ProlificID;data.img_idx_practice;data.counter_practice;data.valence;data.approach;data.img_idx;data.counter_main
1;session_136;14/03/2025 12:49;AIDEI13V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;3935,9;13286,7;13277,1;13294;17229,9;17230,1;2025-03-14T11:49:30.122Z;17243,7;;;;;;;
2;session_138;17/03/2025 09:29;AIDEI13V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;5864,7;30816,9;30805,666;30822,4;36687,1;36687,5;2025-03-17T08:29:40.730Z;36689,648;;;;;;;
3;session_138;17/03/2025 09:29;AIDEI13V;;;Prolific ID;html.Form;1;;;;form submission;3777,952;36687,8;36689,648;36689,648;40467,6;40467,9;2025-03-17T08:29:44.510Z;40472,9;TESTFATIH;;;;;;
4;session_115;17/03/2025 09:30;AIDEI13V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;4461,7;14290,4;14251,966;14301,1;18762,8;18763,3;2025-03-17T08:30:45.043Z;18768;;;;;;;
5;session_117;17/03/2025 09:39;AIDEI13V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;15602,5;22547,2;22520,1;22568,6;38171,1;38171,5;2025-03-17T08:39:41.470Z;38174,8;;;;;;;
6;session_117;17/03/2025 09:39;AIDEI13V;;;Prolific ID;html.Form;1;;;;form submission;2755,5;38171,7;38168,6;38174,8;40930,3;40930,5;2025-03-17T08:39:44.229Z;40938,4;participant_147;;;;;;
7;session_125;17/03/2025 09:40;AIDEI13V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;8541,8;11683,3;11658,4;11691,8;20233,6;20233,9;2025-03-17T08:40:54.419Z;20233,4;;;;;;;
8;session_125;17/03/2025 09:41;AIDEI13V;;;Prolific ID;html.Form;1;;;;form submission;3461,8;20234,1;20225;20233,4;23695,2;23695,5;2025-03-17T08:40:57.881Z;23698,6;participant_153;;;;;;
9;session_116;17/03/2025 09:41;AIDEI13V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;17636;4228;4231;4251;21887;21887;2025-03-17T08:41:14.215Z;21908;;;;;;;
10;session_116;17/03/2025 09:41;AIDEI13V;;;Prolific ID;html.Form;1;;;;form submission;3636;21888;21890;21908;25544;25544;2025-03-17T08:41:17.872Z;25569;participant_132;;;;;;
11;session_116;17/03/2025 09:41;AIDEI13V;;;Experiment Information;html.Form;2;;;;form submission;26415;25545;25564;25569;51984;51984;2025-03-17T08:41:44.312Z;52028;;;;;;;
11;session_116;17/03/2025 09:41;AIDEI13V;;;Practice  Screen;canvas.Screen;3_0_0;;;;timeout;17;51985;51988;52028;52028;52029;2025-03-17T08:41:44.356Z;52045;;static\living room_0.png;0.0;;;;
12;session_116;17/03/2025 09:41;AIDEI13V;;;Practice Questionnaire;html.Form;3_0_1;;;;form submission;12557;52029;52028;52045;64602;64602;2025-03-17T08:41:56.930Z;64626;;static\living room_0.png;0.0;4.0;3.0;;
12;session_116;17/03/2025 09:41;AIDEI13V;;;Practice  Sequence;flow.Sequence;3_0;;;;completion;12574;51985;51988;52028;64602;64603;2025-03-17T08:41:56.931Z;64626;;static\living room_0.png;0.0;;;;
12;session_116;17/03/2025 09:41;AIDEI13V;;;Practice  Screen;canvas.Screen;3_1_0;;;;timeout;31;64603;64605;64626;64626;64627;2025-03-17T08:41:56.954Z;64657;;static\office room_24.png;1.0;;;;
