id;session;timestamp;experiment;data.url;data.meta;data.sender;data.sender_type;data.sender_id;data.consent;data.share;data.;data.ended_on;data.duration;data.time_run;data.time_render;data.time_show;data.time_end;data.time_commit;data.timestamp;data.time_switch;data.ProlificID;data.img_idx_practice;data.counter_practice;data.tense;data.energetic;data.img_idx;data.counter_main
1;session_711;31/03/2025 08:56;AIDEI16A;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;16285,2;9150;9137,6;9171,1;25456,3;25456,7;2025-03-31T06:56:22.433Z;25471,1;;;;;;;
2;session_711;31/03/2025 08:56;AIDEI16A;;;Prolific ID;html.Form;1;;;;form submission;2984,6;25456,9;25454,264;25471,1;28455,7;28455,9;2025-03-31T06:56:25.433Z;28471,1;TESTFATIH;;;;;;
2;session_711;31/03/2025 08:56;AIDEI16A;;;Experiment Information;html.Form;2;;;;form submission;1448,4;28456;28454,882;28471,1;29919,5;29919,8;2025-03-31T06:56:26.896Z;29938;;;;;;;
2;session_711;31/03/2025 08:56;AIDEI16A;;;Practice  Screen;canvas.Screen;3_0_0;;;;timeout;16,6;29920,1;29920,998;29938;29938,6;29939,9;2025-03-31T06:56:26.917Z;29954,6;;static\living room_0.png;0.0;;;;
3;session_711;31/03/2025 08:56;AIDEI16A;;;Practice Questionnaire;html.Form;3_0_1;;;;form submission;3891,5;29940,5;29938,6;29954,6;33846,1;33846,2;2025-03-31T06:56:30.823Z;33870,7;;static\living room_0.png;0.0;6.0;7.0;;
3;session_711;31/03/2025 08:56;AIDEI16A;;;Practice  Sequence;flow.Sequence;3_0;;;;completion;3908,1;29920,1;29920,998;29938;33846,1;33846,5;2025-03-31T06:56:30.823Z;33870,7;;static\living room_0.png;0.0;;;;
3;session_711;31/03/2025 08:56;AIDEI16A;;;Practice  Screen;canvas.Screen;3_1_0;;;;timeout;17,1;33846,7;33854,4;33870,7;33871,1;33871,2;2025-03-31T06:56:30.848Z;33887,8;;static\office room_24.png;1.0;;;;
3;session_711;31/03/2025 08:56;AIDEI16A;;;Practice Questionnaire;html.Form;3_1_1;;;;form submission;1403,7;33871,4;33871,1;33887,8;35291,5;35291,8;2025-03-31T06:56:32.268Z;35304,2;;static\office room_24.png;1.0;7.0;6.0;;
3;session_711;31/03/2025 08:56;AIDEI16A;;;Practice  Sequence;flow.Sequence;3_1;;;;completion;1420,8;33846,7;33854,4;33870,7;35291,5;35292;2025-03-31T06:56:32.269Z;35304,2;;static\office room_24.png;1.0;;;;
3;session_711;31/03/2025 08:56;AIDEI16A;;;Practice  Screen;canvas.Screen;3_2_0;;;;timeout;16,5;35292,1;35288,2;35304,2;35304,6;35304,8;2025-03-31T06:56:32.281Z;35320,7;;static\restaurant_80.png;2.0;;;;
3;session_711;31/03/2025 08:56;AIDEI16A;;;Practice Questionnaire;html.Form;3_2_1;;;;form submission;2140,8;35304,9;35304,6;35320,7;37461,5;37461,8;2025-03-31T06:56:34.438Z;37487,8;;static\restaurant_80.png;2.0;6.0;7.0;;
3;session_711;31/03/2025 08:56;AIDEI16A;;;Practice  Sequence;flow.Sequence;3_2;;;;completion;2157,3;35292,1;35288,2;35304,2;37461,5;37462;2025-03-31T06:56:34.439Z;37487,8;;static\restaurant_80.png;2.0;;;;
3;session_711;31/03/2025 08:56;AIDEI16A;;;Practice Loop;flow.Loop;3;;;;completion;7523,5;29920;29920,998;29938;37461,5;37462,1;2025-03-31T06:56:34.439Z;37487,8;;;;;;;
4;session_711;31/03/2025 08:56;AIDEI16A;;;Experiment Information Main;html.Form;4;;;;form submission;8725,2;37462,1;37471,6;37487,8;46213;46213,2;2025-03-31T06:56:43.190Z;46221,5;;;;;;;
4;session_711;31/03/2025 08:56;AIDEI16A;;;Screen;canvas.Screen;5_0_0;;;;timeout;15,9;46213,2;46204,7;46221,5;46222;46222,1;2025-03-31T06:56:43.199Z;46237,4;;;;;;kitchen__126.png;0.0
5;session_711;31/03/2025 08:56;AIDEI16A;;;Questionnaire;html.Form;5_0_1;;;;form submission;3959,7;46222,2;46222;46237,4;50197,1;50197,3;2025-03-31T06:56:47.174Z;50204,2;;;;5.0;6.0;kitchen__126.png;0.0
5;session_711;31/03/2025 08:56;AIDEI16A;;;Sequence;flow.Sequence;5_0;;;;completion;3975,6;46213,2;46204,7;46221,5;50197,1;50197,4;2025-03-31T06:56:47.174Z;50204,2;;;;;;kitchen__126.png;0.0
5;session_711;31/03/2025 08:56;AIDEI16A;;;Screen;canvas.Screen;5_1_0;;;;timeout;17,3;50197,4;50187,964;50204,2;50204,5;50204,6;2025-03-31T06:56:47.181Z;50221,5;;;;;;dining room__134.png;1.0
