Participant id,Status,Started at,Completed at,Time taken,Total approvals,Fluent languages,Dyslexia,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
participant_830,APPROVED,2025-03-31T13:10:43.680000Z,2025-03-31T13:29:25.128000Z,1122.0,739,English,No,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
participant_839,APPROVED,2025-03-31T13:12:21.665000Z,2025-03-31T13:37:27.326000Z,1506.0,60,English,No,29,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
participant_840,APPROVED,2025-03-31T13:13:16.752000Z,2025-03-31T13:28:16.373000Z,900.0,112,English,No,28,Male,Black,Nigeria,Italy,Nigeria,English,Yes,Part-Time
participant_834,RETURNED,2025-03-31T13:13:40.001000Z,,,65,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_837,APPROVED,2025-03-31T13:13:43.843000Z,2025-03-31T13:25:19.505000Z,696.0,217,"English, Norwegian",No,21,Male,White,Norway,Norway,Norway,Norwegian,Yes,Part-Time
participant_842,APPROVED,2025-03-31T13:17:37.862000Z,2025-03-31T13:37:22.608000Z,1185.0,1,English,No,77,Female,Black,South Africa,South Africa,South Africa,English,No,Part-Time
participant_841,APPROVED,2025-03-31T13:15:00.968000Z,2025-03-31T13:34:58.815000Z,1198.0,102,English,No,44,Female,Asian,DATA_EXPIRED,United Kingdom,Philippines,English,No,Part-Time
participant_836,APPROVED,2025-03-31T13:14:19.363000Z,2025-03-31T13:30:17.983000Z,959.0,98,"Spanish, Catalan, English",No,49,Female,White,Spain,Spain,Spain,Catalan,No,Part-Time
participant_849,APPROVED,2025-03-31T13:15:11.180000Z,2025-03-31T13:47:15.665000Z,1925.0,11,"English, Other",No,42,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
participant_835,APPROVED,2025-03-31T13:15:10.031000Z,2025-03-31T13:32:54.402000Z,1065.0,15,"English, Spanish, Mandarin",No,22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
participant_851,APPROVED,2025-03-31T13:15:10.388000Z,2025-03-31T13:27:12.105000Z,722.0,210,"English, Latvian, Russian",No,22,Male,White,Latvia,Latvia,Latvia,Latvian,Yes,Due to start a new job within the next month
