id;session;timestamp;experiment;data.url;data.meta;data.sender;data.sender_type;data.sender_id;data.consent;data.share;data.;data.ended_on;data.duration;data.time_run;data.time_render;data.time_show;data.time_end;data.time_commit;data.timestamp;data.time_switch;data.ProlificID;data.img_idx_practice;data.counter_practice;data.valence;data.approach;data.img_idx;data.counter_main
1;session_306;06/03/2025 11:14;AIDEI2V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;5980,6;8087,8;8074,7;8091,7;14072,3;14072,6;2025-03-06T10:14:40.128Z;14075,23;;;;;;;
2;session_306;06/03/2025 11:14;AIDEI2V;;;Prolific ID;html.Form;1;;;;form submission;5858,57;14072,6;14075,23;14075,23;19933,8;19934;2025-03-06T10:14:45.989Z;19942;TESTFATIH;;;;;;
3;session_306;06/03/2025 11:15;AIDEI2V;;;Experiment Information;html.Form;2;;;;form submission;5309,6;19934,1;19941,962;19942;25251,6;25251,6;2025-03-06T10:14:51.307Z;25258,4;;;;;;;
3;session_306;06/03/2025 11:15;AIDEI2V;;;Practice  Screen;canvas.Screen;3_0_0;;;;timeout;16,4;25251,7;25241,83;25258,4;25258,9;25259,1;2025-03-06T10:14:51.315Z;25274,8;;static\living room_0.png;0.0;;;;
3;session_306;06/03/2025 11:15;AIDEI2V;;;Practice Questionnaire;html.Form;3_0_1;;;;form submission;2203;25259,3;25258,9;25274,8;27477,8;27477,9;2025-03-06T10:14:53.533Z;27492;;static\living room_0.png;0.0;7.0;6.0;;
3;session_306;06/03/2025 11:15;AIDEI2V;;;Practice  Sequence;flow.Sequence;3_0;;;;completion;2219,4;25251,7;25241,83;25258,4;27477,8;27478,1;2025-03-06T10:14:53.534Z;27492;;static\living room_0.png;0.0;;;;
3;session_306;06/03/2025 11:15;AIDEI2V;;;Practice  Screen;canvas.Screen;3_1_0;;;;timeout;16,2;27478,1;27475,5;27492;27492,4;27492,6;2025-03-06T10:14:53.548Z;27508,2;;static\office room_24.png;1.0;;;;
3;session_306;06/03/2025 11:15;AIDEI2V;;;Practice Questionnaire;html.Form;3_1_1;;;;form submission;1497,8;27492,7;27492,4;27508,2;29006;29006,1;2025-03-06T10:14:55.062Z;29024,7;;static\office room_24.png;1.0;6.0;7.0;;
3;session_306;06/03/2025 11:15;AIDEI2V;;;Practice  Sequence;flow.Sequence;3_1;;;;completion;1514;27478,1;27475,5;27492;29006;29006,3;2025-03-06T10:14:55.062Z;29024,7;;static\office room_24.png;1.0;;;;
3;session_306;06/03/2025 11:15;AIDEI2V;;;Practice  Screen;canvas.Screen;3_2_0;;;;timeout;16,9;29006,3;29008,1;29024,7;29025,3;29025,4;2025-03-06T10:14:55.081Z;29041,6;;static\restaurant_80.png;2.0;;;;
3;session_306;06/03/2025 11:15;AIDEI2V;;;Practice Questionnaire;html.Form;3_2_1;;;;form submission;1520,1;29025,6;29025,3;29041,6;30561,7;30561,8;2025-03-06T10:14:56.617Z;30575;;static\restaurant_80.png;2.0;6.0;6.0;;
