id;session;timestamp;experiment;data.url;data.meta;data.sender;data.sender_type;data.sender_id;data.consent;data.share;data.;data.ended_on;data.duration;data.time_run;data.time_render;data.time_show;data.time_end;data.time_commit;data.timestamp;data.time_switch;data.ProlificID;data.img_idx_practice;data.counter_practice;data.tense;data.energetic;data.img_idx;data.counter_main
1;session_942;25/03/2025 17:03;AIDEI6A;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;31197,8;52122,6;52099,9;52116,9;83314,7;83315;2025-03-25T16:03:29.400Z;83316,93;;;;;;;
1;session_942;25/03/2025 17:03;AIDEI6A;;;Prolific ID;html.Form;1;;;;form submission;2421,67;83315,2;83316,93;83316,93;85738,6;85738,7;2025-03-25T16:03:31.823Z;85750,3;TESTFAYTIH;;;;;;
1;session_942;25/03/2025 17:03;AIDEI6A;;;Experiment Information;html.Form;2;;;;form submission;1539,5;85738,8;85733,786;85750,3;87289,8;87289,8;2025-03-25T16:03:33.375Z;87316,4;;;;;;;
1;session_942;25/03/2025 17:03;AIDEI6A;;;Practice  Screen;canvas.Screen;3_0_0;;;;timeout;17,1;87290,1;87299,8;87316,4;87317;87317,2;2025-03-25T16:03:33.402Z;87333,5;;static\living room_0.png;0.0;;;;
1;session_942;25/03/2025 17:03;AIDEI6A;;;Practice Questionnaire;html.Form;3_0_1;;;;form submission;1820,8;87317,3;87317;87333,5;89154,3;89154,4;2025-03-25T16:03:35.239Z;89184,1;;static\living room_0.png;0.0;5.0;6.0;;
1;session_942;25/03/2025 17:03;AIDEI6A;;;Practice  Sequence;flow.Sequence;3_0;;;;completion;1837,9;87290,1;87299,8;87316,4;89154,3;89154,6;2025-03-25T16:03:35.239Z;89184,1;;static\living room_0.png;0.0;;;;
1;session_942;25/03/2025 17:03;AIDEI6A;;;Practice  Screen;canvas.Screen;3_1_0;;;;timeout;16;89154,7;89166,5;89184,1;89184,7;89184,8;2025-03-25T16:03:35.269Z;89200,1;;static\office room_24.png;1.0;;;;
1;session_942;25/03/2025 17:03;AIDEI6A;;;Practice Questionnaire;html.Form;3_1_1;;;;form submission;1440,2;89184,9;89184,7;89200,1;90640,3;90640,5;2025-03-25T16:03:36.725Z;90666,4;;static\office room_24.png;1.0;4.0;5.0;;
1;session_942;25/03/2025 17:03;AIDEI6A;;;Practice  Sequence;flow.Sequence;3_1;;;;completion;1456,2;89154,7;89166,5;89184,1;90640,3;90640,5;2025-03-25T16:03:36.725Z;90666,4;;static\office room_24.png;1.0;;;;
1;session_942;25/03/2025 17:03;AIDEI6A;;;Practice  Screen;canvas.Screen;3_2_0;;;;timeout;17,3;90640,6;90649,7;90666,4;90667;90667,2;2025-03-25T16:03:36.752Z;90683,7;;static\restaurant_80.png;2.0;;;;
1;session_942;25/03/2025 17:03;AIDEI6A;;;Practice Questionnaire;html.Form;3_2_1;;;;form submission;1758,6;90667,3;90667;90683,7;92442,3;92442,5;2025-03-25T16:03:38.527Z;92450,4;;static\restaurant_80.png;2.0;4.0;3.0;;
1;session_942;25/03/2025 17:03;AIDEI6A;;;Practice  Sequence;flow.Sequence;3_2;;;;completion;1775,9;90640,6;90649,7;90666,4;92442,3;92442,6;2025-03-25T16:03:38.527Z;92450,4;;static\restaurant_80.png;2.0;;;;
1;session_942;25/03/2025 17:03;AIDEI6A;;;Practice Loop;flow.Loop;3;;;;completion;5125,9;87290;87299,8;87316,4;92442,3;92442,7;2025-03-25T16:03:38.527Z;92450,4;;;;;;;
1;session_942;25/03/2025 17:03;AIDEI6A;;;Experiment Information Main;html.Form;4;;;;form submission;745,1;92442,7;92433,2;92450,4;93195,5;93195,6;2025-03-25T16:03:39.280Z;93199,9;;;;;;;
1;session_942;25/03/2025 17:03;AIDEI6A;;;Screen;canvas.Screen;5_0_0;;;;timeout;17,5;93195,7;93183,456;93199,9;93205,2;93205,4;2025-03-25T16:03:39.290Z;93217,4;;;;;;kitchen__107.png;0.0
1;session_942;25/03/2025 17:03;AIDEI6A;;;Questionnaire;html.Form;5_0_1;;;;form submission;2083;93205,4;93205,2;93217,4;95300,4;95300,5;2025-03-25T16:03:41.385Z;95316,3;;;;3.0;4.0;kitchen__107.png;0.0
1;session_942;25/03/2025 17:03;AIDEI6A;;;Sequence;flow.Sequence;5_0;;;;completion;2100,5;93195,6;93183,456;93199,9;95300,4;95300,8;2025-03-25T16:03:41.385Z;95316,3;;;;;;kitchen__107.png;0.0
1;session_942;25/03/2025 17:03;AIDEI6A;;;Screen;canvas.Screen;5_1_0;;;;timeout;17,3;95300,8;95300,494;95316,3;95316,9;95317,1;2025-03-25T16:03:41.402Z;95333,6;;;;;;office__212.png;1.0
