id;session;timestamp;experiment;data.url;data.meta;data.sender;data.sender_type;data.sender_id;data.consent;data.share;data.;data.ended_on;data.duration;data.time_run;data.time_render;data.time_show;data.time_end;data.time_commit;data.timestamp;data.time_switch;data.ProlificID;data.img_idx_practice;data.counter_practice;data.tense;data.energetic;data.img_idx;data.counter_main
1;session_1014;26/03/2025 12:59;AIDEI9A;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;5078,1;13068,7;13058,9;13076,1;18154,2;18154,6;2025-03-26T11:58:57.240Z;18159,3;;;;;;;
2;session_1014;26/03/2025 12:59;AIDEI9A;;;Prolific ID;html.Form;1;;;;form submission;2856,2;18154,9;18142,216;18159,3;21015,5;21015,8;2025-03-26T11:59:00.101Z;21025,6;TESTFATIH;;;;;;
2;session_1014;26/03/2025 12:59;AIDEI9A;;;Experiment Information;html.Form;2;;;;form submission;1251,5;21016;21009,382;21025,6;22277,1;22277,4;2025-03-26T11:59:01.363Z;22292,2;;;;;;;
2;session_1014;26/03/2025 12:59;AIDEI9A;;;Practice  Screen;canvas.Screen;3_0_0;;;;timeout;16,5;22277,8;22276,148;22292,2;22292,8;22293,1;2025-03-26T11:59:01.378Z;22308,7;;static\living room_0.png;0.0;;;;
2;session_1014;26/03/2025 12:59;AIDEI9A;;;Practice Questionnaire;html.Form;3_0_1;;;;form submission;1882,7;22293,3;22292,8;22308,7;24191,4;24191,7;2025-03-26T11:59:03.277Z;24208,6;;static\living room_0.png;0.0;5.0;6.0;;
2;session_1014;26/03/2025 12:59;AIDEI9A;;;Practice  Sequence;flow.Sequence;3_0;;;;completion;1899,2;22277,7;22276,148;22292,2;24191,4;24192;2025-03-26T11:59:03.277Z;24208,6;;static\living room_0.png;0.0;;;;
2;session_1014;26/03/2025 12:59;AIDEI9A;;;Practice  Screen;canvas.Screen;3_1_0;;;;timeout;17,4;24192,3;24192,7;24208,6;24208,9;24209,1;2025-03-26T11:59:03.294Z;24226;;static\office room_24.png;1.0;;;;
2;session_1014;26/03/2025 12:59;AIDEI9A;;;Practice Questionnaire;html.Form;3_1_1;;;;form submission;1659,2;24209,2;24208,9;24226;25885,2;25885,4;2025-03-26T11:59:04.970Z;25892,1;;static\office room_24.png;1.0;6.0;5.0;;
2;session_1014;26/03/2025 12:59;AIDEI9A;;;Practice  Sequence;flow.Sequence;3_1;;;;completion;1676,6;24192,2;24192,7;24208,6;25885,2;25885,6;2025-03-26T11:59:04.971Z;25892,1;;static\office room_24.png;1.0;;;;
2;session_1014;26/03/2025 12:59;AIDEI9A;;;Practice  Screen;canvas.Screen;3_2_0;;;;timeout;16,5;25885,7;25875,894;25892,1;25892,6;25892,8;2025-03-26T11:59:04.978Z;25908,6;;static\restaurant_80.png;2.0;;;;
2;session_1014;26/03/2025 12:59;AIDEI9A;;;Practice Questionnaire;html.Form;3_2_1;;;;form submission;1556,5;25893;25892,6;25908,6;27465,1;27465,3;2025-03-26T11:59:06.550Z;27475,5;;static\restaurant_80.png;2.0;6.0;7.0;;
2;session_1014;26/03/2025 12:59;AIDEI9A;;;Practice  Sequence;flow.Sequence;3_2;;;;completion;1573;25885,7;25875,894;25892,1;27465,1;27465,4;2025-03-26T11:59:06.550Z;27475,5;;static\restaurant_80.png;2.0;;;;
2;session_1014;26/03/2025 12:59;AIDEI9A;;;Practice Loop;flow.Loop;3;;;;completion;5172,9;22277,6;22276,148;22292,2;27465,1;27465,5;2025-03-26T11:59:06.551Z;27475,5;;;;;;;
3;session_1014;26/03/2025 12:59;AIDEI9A;;;Experiment Information Main;html.Form;4;;;;form submission;3243,2;27465,6;27459,3;27475,5;30718,7;30719;2025-03-26T11:59:09.804Z;30741,9;;;;;;;
3;session_1014;26/03/2025 12:59;AIDEI9A;;;Screen;canvas.Screen;5_0_0;;;;timeout;16,7;30719,3;30726;30741,9;30742,3;30742,4;2025-03-26T11:59:09.827Z;30758,6;;;;;;restaurant__195.png;0.0
4;session_1018;26/03/2025 13:01;AIDEI9A;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;8232,6;6606;6583,866;6617,1;14849,7;14850,3;2025-03-26T12:01:27.825Z;14861,4;;;;;;;
5;session_1018;26/03/2025 13:01;AIDEI9A;;;Prolific ID;html.Form;1;;;;form submission;3737;14850,6;14845,85;14861,4;18598,4;18598,7;2025-03-26T12:01:31.573Z;18618,982;participant_1116;;;;;;
6;session_1018;26/03/2025 13:02;AIDEI9A;;;Experiment Information;html.Form;2;;;;form submission;37920,618;18598,7;18618,982;18618,982;56539,6;56540,1;2025-03-26T12:02:09.515Z;56547,6;;;;;;;
6;session_1018;26/03/2025 13:02;AIDEI9A;;;Practice  Screen;canvas.Screen;3_0_0;;;;timeout;16,9;56540,4;56532,384;56547,6;56548;56548,1;2025-03-26T12:02:09.523Z;56564,5;;static\living room_0.png;0.0;;;;
7;session_1018;26/03/2025 13:02;AIDEI9A;;;Practice Questionnaire;html.Form;3_0_1;;;;form submission;8724,7;56548,2;56548;56564,5;65289,2;65289,6;2025-03-26T12:02:18.264Z;65291,55;;static\living room_0.png;0.0;5.0;3.0;;
7;session_1018;26/03/2025 13:02;AIDEI9A;;;Practice  Sequence;flow.Sequence;3_0;;;;completion;8741,6;56540,4;56532,384;56547,6;65289,2;65290;2025-03-26T12:02:18.264Z;65291,55;;static\living room_0.png;0.0;;;;
7;session_1018;26/03/2025 13:02;AIDEI9A;;;Practice  Screen;canvas.Screen;3_1_0;;;;timeout;15,55;65290,2;65291,55;65291,55;65294,4;65294,5;2025-03-26T12:02:18.269Z;65307,1;;static\office room_24.png;1.0;;;;
8;session_1018;26/03/2025 13:02;AIDEI9A;;;Practice Questionnaire;html.Form;3_1_1;;;;form submission;4994,5;65294,6;65294,4;65307,1;70301,6;70301,8;2025-03-26T12:02:23.276Z;70326,8;;static\office room_24.png;1.0;3.0;5.0;;
8;session_1018;26/03/2025 13:02;AIDEI9A;;;Practice  Sequence;flow.Sequence;3_1;;;;completion;5010,05;65290,2;65291,55;65291,55;70301,6;70302;2025-03-26T12:02:23.276Z;70326,8;;static\office room_24.png;1.0;;;;
8;session_1018;26/03/2025 13:02;AIDEI9A;;;Practice  Screen;canvas.Screen;3_2_0;;;;timeout;16,5;70302,1;70310,2;70326,8;70327,3;70327,5;2025-03-26T12:02:23.302Z;70343,3;;static\restaurant_80.png;2.0;;;;
9;session_1018;26/03/2025 13:02;AIDEI9A;;;Practice Questionnaire;html.Form;3_2_1;;;;form submission;4982,8;70327,6;70327,3;70343,3;75326,1;75326,6;2025-03-26T12:02:28.301Z;75330,984;;static\restaurant_80.png;2.0;3.0;4.0;;
9;session_1018;26/03/2025 13:02;AIDEI9A;;;Practice  Sequence;flow.Sequence;3_2;;;;completion;4999,3;70302;70310,2;70326,8;75326,1;75326,7;2025-03-26T12:02:28.301Z;75330,984;;static\restaurant_80.png;2.0;;;;
9;session_1018;26/03/2025 13:02;AIDEI9A;;;Practice Loop;flow.Loop;3;;;;completion;18778,5;56540,3;56532,384;56547,6;75326,1;75326,9;2025-03-26T12:02:28.301Z;75330,984;;;;;;;
10;session_1018;26/03/2025 13:02;AIDEI9A;;;Experiment Information Main;html.Form;4;;;;form submission;8461,016;75326,9;75330,984;75330,984;83792;83792,3;2025-03-26T12:02:36.767Z;83806,7;;;;;;;
10;session_1018;26/03/2025 13:02;AIDEI9A;;;Screen;canvas.Screen;5_0_0;;;;timeout;16,7;83792,6;83791,25;83806,7;83807,1;83807,2;2025-03-26T12:02:36.782Z;83823,4;;;;;;living room__193.png;0.0
11;session_1018;26/03/2025 13:02;AIDEI9A;;;Questionnaire;html.Form;5_0_1;;;;form submission;4352,8;83807,3;83807,1;83823,4;88176,2;88176,6;2025-03-26T12:02:41.151Z;88178;;;;4.0;3.0;living room__193.png;0.0
11;session_1018;26/03/2025 13:02;AIDEI9A;;;Sequence;flow.Sequence;5_0;;;;completion;4369,5;83792,5;83791,25;83806,7;88176,2;88176,8;2025-03-26T12:02:41.151Z;88178;;;;;;living room__193.png;0.0
11;session_1018;26/03/2025 13:02;AIDEI9A;;;Screen;canvas.Screen;5_1_0;;;;timeout;16,9;88176,9;88162,912;88178;88179,1;88179,3;2025-03-26T12:02:41.154Z;88194,9;;;;;;restaurant__51.png;1.0
