Participant id,Status,Started at,Completed at,Time taken,Total approvals,Fluent languages,Dyslexia,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
participant_755,APPROVED,2025-03-28T12:26:50.061000Z,2025-03-28T12:48:46.974000Z,1317.0,47,English,No,23,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
participant_765,APPROVED,2025-03-28T12:32:31.215000Z,2025-03-28T12:49:30.165000Z,1019.0,66,"English, Romanian",No,30,Female,White,Romania,United Kingdom,Romania,Romanian,No,Full-Time
participant_760,APPROVED,2025-03-28T12:32:18.101000Z,2025-03-28T12:49:15.718000Z,1018.0,53,"Afrikaans, English, French, Spanish",No,23,Male,Black,South Africa,South Africa,South Africa,Other,Yes,Other
participant_753,APPROVED,2025-03-28T12:32:24.740000Z,2025-03-28T13:02:41.952000Z,1818.0,11,"Arabic, Swahili, English, Afrikaans",No,22,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
participant_750,APPROVED,2025-03-28T12:32:19.100000Z,2025-03-28T12:52:49.641000Z,1231.0,125,"Russian, Estonian, English",No,27,Male,White,Estonia,Estonia,Estonia,Estonian,DATA_EXPIRED,Full-Time
participant_747,APPROVED,2025-03-28T12:32:50.348000Z,2025-03-28T12:52:00.288000Z,1150.0,399,"Croatian, English, Slovenian, German",No,29,Male,White,Slovenia,Slovenia,Slovenia,Slovenian,No,Full-Time
participant_762,RETURNED,2025-03-28T12:32:30.856000Z,,,113,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_737,APPROVED,2025-03-28T12:33:27.148000Z,2025-03-28T12:57:10.964000Z,1424.0,448,English,No,23,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
participant_731,APPROVED,2025-03-28T12:32:31.093000Z,2025-03-28T12:46:14.832000Z,824.0,190,"Czech, English, Polish",No,23,Female,White,Poland,Poland,Poland,Polish,Yes,Part-Time
participant_744,APPROVED,2025-03-28T12:34:30.442000Z,2025-03-28T13:03:07.034000Z,1717.0,133,English,No,26,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Part-Time
participant_752,APPROVED,2025-03-28T12:34:15.643000Z,2025-03-28T13:02:13.291000Z,1678.0,113,"English, Polish",No,23,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,Part-Time
participant_766,RETURNED,2025-03-28T12:34:37.128000Z,,,769,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_761,RETURNED,2025-03-28T12:34:26.838000Z,,,212,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_759,APPROVED,2025-03-28T12:35:20.908000Z,2025-03-28T12:57:11.819000Z,1311.0,71,English,No,38,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
participant_757,APPROVED,2025-03-28T12:35:18.957000Z,2025-03-28T12:55:26.365000Z,1208.0,134,"Czech, English",No,37,Male,White,Czech Republic,Czech Republic,Czech Republic,Czech,No,Due to start a new job within the next month
participant_764,APPROVED,2025-03-28T12:36:34.019000Z,2025-03-28T13:24:24.073000Z,2871.0,81,English,No,36,Female,Black,South Africa,South Africa,South Africa,English,No,Other
participant_742,RETURNED,2025-03-28T12:36:19.626000Z,,,117,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_736,RETURNED,2025-03-28T12:37:09.093000Z,2025-03-28T12:51:14.991000Z,,85,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_748,APPROVED,2025-03-28T12:37:36.191000Z,2025-03-28T13:06:04.303000Z,1709.0,50,"Afrikaans, Dutch, English, German, Spanish, French",No,25,Female,Black,United Kingdom,South Africa,South Africa,English,Yes,Full-Time
participant_751,APPROVED,2025-03-28T12:38:14.384000Z,2025-03-28T12:56:17.483000Z,1084.0,0,"English, Other",No,23,Female,Black,South Africa,South Africa,South Africa,Other,No,Full-Time
participant_740,TIMED-OUT,2025-03-28T12:38:34.734000Z,,8204193.0,107,"Afrikaans, Chinese, Croatian, English, Finnish, German, Hindi, Japanese",No,22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
participant_732,APPROVED,2025-03-28T12:40:20.107000Z,2025-03-28T13:01:30.997000Z,1271.0,1184,English,No,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
participant_741,APPROVED,2025-03-28T12:40:26.498000Z,2025-04-04T08:38:37.137000Z,590291.0,136,"Afrikaans, Albanian, Amharic, Arabic, Armenian, Basque, Bengali, Belarusian, Burmese, Catalan, Bulgarian, Czech, Croatian, Danish, Dari, Dzongkha, Dutch, English, Esperanto, Estonian, Faroese, Finnish, French, Gaelic, Galician, German, Greek, Hebrew, Hungarian, Hindi, Icelandic, Indonesian, Italian, Inuktitut, Japanese, Korean, Kurdish, Laotian, Latvian, Lappish, Lithuanian, Macedonian, Malay, Maltese, Nepali, Norwegian, Pashto, Polish, Portuguese, Romanian, Russian, Scots, Slovenian, Serbian, Slovak, Somali, Spanish, Swedish, Tajik, Swahili, Tagalog-Filipino, Tamil, Thai, Tibetan, Tigrinya, Tongan, Turkish, Turkmen, Ukrainian, Uzbek, Welsh, Vietnamese, Telugu, Papiamento, Mandarin",No,27,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
participant_763,RETURNED,2025-03-28T12:40:39.924000Z,,,124,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_738,APPROVED,2025-03-28T12:40:54.354000Z,2025-03-28T13:11:24.986000Z,1831.0,16,"Afrikaans, English, French, Russian",No,30,Female,Black,South Africa,South Africa,South Africa,Afrikaans,No,Full-Time
participant_733,REJECTED,2025-03-28T12:48:05.443000Z,2025-03-28T13:00:35.158000Z,750.0,220,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_756,RETURNED,2025-03-28T13:02:14.176000Z,,,464,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_739,RETURNED,2025-03-28T13:03:45.208000Z,,,133,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_745,APPROVED,2025-03-28T13:15:30.321000Z,2025-03-28T13:29:20.903000Z,831.0,535,"Afrikaans, English",No,27,Female,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time
participant_735,APPROVED,2025-03-28T13:26:53.015000Z,2025-03-28T13:44:20.486000Z,1048.0,167,English,No,30,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
participant_758,RETURNED,2025-03-28T13:36:25.542000Z,,,490,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_734,APPROVED,2025-03-28T13:48:20.924000Z,2025-03-28T13:58:40.882000Z,620.0,683,"English, Polish",No,32,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
participant_754,APPROVED,2025-03-28T14:03:48.891000Z,2025-03-28T14:43:17.185000Z,2369.0,299,English,No,50,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
participant_743,APPROVED,2025-03-28T14:04:36.631000Z,2025-03-28T14:20:41.450000Z,965.0,2129,English,No,66,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
participant_746,APPROVED,2025-04-04T09:27:44.041000Z,2025-04-04T09:40:27.605000Z,764.0,255,English,No,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
