Participant id,Status,Started at,Completed at,Time taken,Total approvals,Fluent languages,Dyslexia,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
participant_314,APPROVED,2025-04-03T07:46:17.493000Z,2025-04-03T07:55:57.763000Z,581.0,189,"English, Spanish, French",No,26,Female,White,Spain,Spain,Spain,Spanish,Yes,Due to start a new job within the next month
participant_327,RETURNED,2025-04-03T07:56:22.938000Z,,,15,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_330,APPROVED,2025-04-03T07:46:50.735000Z,2025-04-03T07:56:24.667000Z,574.0,456,English,No,74,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
participant_320,APPROVED,2025-04-03T07:51:33.957000Z,2025-04-03T08:03:36.749000Z,723.0,203,"Afrikaans, English, Dutch, French, Portuguese, Spanish",No,31,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
participant_332,APPROVED,2025-04-03T07:49:27.653000Z,2025-04-03T07:56:37.144000Z,430.0,119,English,No,27,Female,Other,South Africa,South Africa,South Africa,English,Yes,Full-Time
participant_321,APPROVED,2025-04-03T07:48:39.876000Z,2025-04-03T08:00:33.563000Z,714.0,330,"Afrikaans, English",No,31,Female,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time
participant_307,APPROVED,2025-04-03T07:48:22.765000Z,2025-04-03T07:59:20.286000Z,658.0,731,"English, Spanish",No,41,Female,White,Spain,Spain,Spain,Spanish,Yes,Part-Time
participant_331,APPROVED,2025-04-03T07:49:30.461000Z,2025-04-03T08:09:02.548000Z,1173.0,32,"English, Other",No,21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
participant_324,APPROVED,2025-04-03T07:48:52.434000Z,2025-04-03T08:06:18.004000Z,1046.0,2,English,No,54,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
participant_318,RETURNED,2025-04-03T07:57:06.002000Z,,,156,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_317,APPROVED,2025-04-03T07:51:01.438000Z,2025-04-03T08:03:08.905000Z,728.0,41,English,No,26,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
participant_322,APPROVED,2025-04-03T07:50:49.761000Z,2025-04-03T08:34:38.658000Z,2629.0,43,English,No,26,Female,Black,South Africa,South Africa,South Africa,English,No,Part-Time
participant_328,RETURNED,2025-04-03T07:51:36.398000Z,,,263,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_311,REJECTED,2025-04-03T07:51:44.943000Z,2025-04-03T08:23:10.969000Z,1887.0,221,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
