id;session;timestamp;experiment;data.url;data.meta;data.sender;data.sender_type;data.sender_id;data.consent;data.share;data.;data.ended_on;data.duration;data.time_run;data.time_render;data.time_show;data.time_end;data.time_commit;data.timestamp;data.time_switch;data.ProlificID;data.img_idx_practice;data.counter_practice;data.valence;data.approach;data.img_idx;data.counter_main
1;session_165;17/03/2025 10:52;AIDEI14V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;8793,1;8699;8689,6;8706;17499,1;17499,5;2025-03-17T09:52:26.190Z;17505,7;;;;;;;
2;session_165;17/03/2025 10:52;AIDEI14V;;;Prolific ID;html.Form;1;;;;form submission;3074,1;17499,6;17489,5;17505,7;20579,8;20580;2025-03-17T09:52:29.270Z;20589,8;TESTFATIH;;;;;;
2;session_165;17/03/2025 10:52;AIDEI14V;;;Experiment Information;html.Form;2;;;;form submission;7029,1;20580,1;20573,182;20589,8;27618,9;27619;2025-03-17T09:52:36.309Z;27622,4;;;;;;;
2;session_165;17/03/2025 10:52;AIDEI14V;;;Practice  Screen;canvas.Screen;3_0_0;;;;timeout;17,1;27619,1;27606,6;27622,4;27626;27626,2;2025-03-17T09:52:36.316Z;27639,5;;static\living room_0.png;0.0;;;;
3;session_165;17/03/2025 10:52;AIDEI14V;;;Practice Questionnaire;html.Form;3_0_1;;;;form submission;3984,7;27626,3;27626;27639,5;31624,2;31624,4;2025-03-17T09:52:40.315Z;31639;;static\living room_0.png;0.0;5.0;6.0;;
3;session_165;17/03/2025 10:52;AIDEI14V;;;Practice  Sequence;flow.Sequence;3_0;;;;completion;4001,8;27619,1;27606,6;27622,4;31624,2;31624,7;2025-03-17T09:52:40.315Z;31639;;static\living room_0.png;0.0;;;;
3;session_165;17/03/2025 10:52;AIDEI14V;;;Practice  Screen;canvas.Screen;3_1_0;;;;timeout;17;31624,8;31622,624;31639;31639,7;31639,9;2025-03-17T09:52:40.330Z;31656;;static\office room_24.png;1.0;;;;
3;session_165;17/03/2025 10:52;AIDEI14V;;;Practice Questionnaire;html.Form;3_1_1;;;;form submission;2395,5;31640;31639,7;31656;34051,5;34051,7;2025-03-17T09:52:42.742Z;34055,8;;static\office room_24.png;1.0;3.0;4.0;;
3;session_165;17/03/2025 10:52;AIDEI14V;;;Practice  Sequence;flow.Sequence;3_1;;;;completion;2412,5;31624,7;31622,624;31639;34051,5;34051,9;2025-03-17T09:52:42.742Z;34055,8;;static\office room_24.png;1.0;;;;
3;session_165;17/03/2025 10:52;AIDEI14V;;;Practice  Screen;canvas.Screen;3_2_0;;;;timeout;16,8;34052;34039,89;34055,8;34056,3;34056,4;2025-03-17T09:52:42.747Z;34072,6;;static\restaurant_80.png;2.0;;;;
4;session_165;17/03/2025 10:52;AIDEI14V;;;Practice Questionnaire;html.Form;3_2_1;;;;form submission;4213;34056,6;34056,3;34072,6;38285,6;38285,9;2025-03-17T09:52:46.976Z;38289;;static\restaurant_80.png;2.0;3.0;4.0;;
4;session_165;17/03/2025 10:52;AIDEI14V;;;Practice  Sequence;flow.Sequence;3_2;;;;completion;4229,8;34051,9;34039,89;34055,8;38285,6;38286,1;2025-03-17T09:52:46.976Z;38289;;static\restaurant_80.png;2.0;;;;
4;session_165;17/03/2025 10:52;AIDEI14V;;;Practice Loop;flow.Loop;3;;;;completion;10663,2;27619,1;27606,6;27622,4;38285,6;38286,2;2025-03-17T09:52:46.976Z;38289;;;;;;;
5;session_165;17/03/2025 10:53;AIDEI14V;;;Experiment Information Main;html.Form;4;;;;form submission;46036,3;38286,2;38273,3;38289;84325,3;84325,4;2025-03-17T09:53:33.016Z;84339,2;;;;;;;
5;session_165;17/03/2025 10:53;AIDEI14V;;;Screen;canvas.Screen;5_0_0;;;;timeout;17,4;84325,5;84323,194;84339,2;84340;84340,1;2025-03-17T09:53:33.030Z;84356,6;;;;;;dining room__209.png;0.0
6;session_165;17/03/2025 10:53;AIDEI14V;;;Questionnaire;html.Form;5_0_1;;;;form submission;3482,9;84340,2;84340;84356,6;87839,5;87839,6;2025-03-17T09:53:36.530Z;87856,4;;;;7.0;6.0;dining room__209.png;0.0
6;session_165;17/03/2025 10:53;AIDEI14V;;;Sequence;flow.Sequence;5_0;;;;completion;3500,3;84325,5;84323,194;84339,2;87839,5;87839,7;2025-03-17T09:53:36.530Z;87856,4;;;;;;dining room__209.png;0.0
6;session_165;17/03/2025 10:53;AIDEI14V;;;Screen;canvas.Screen;5_1_0;;;;timeout;16,3;87839,9;87839,864;87856,4;87857,2;87857,4;2025-03-17T09:53:36.548Z;87872,7;;;;;;kitchen__35.png;1.0
7;session_153;17/03/2025 10:57;AIDEI14V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;6608,4;48499,1;48452,7;48502,6;55111;55111,4;2025-03-17T09:57:11.905Z;55119;;;;;;;
8;session_155;17/03/2025 11:01;AIDEI14V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;3998,1;10813,9;10800,9;10817,4;14815,5;14815,9;2025-03-17T10:01:21.395Z;14834;;;;;;;
9;session_151;17/03/2025 11:05;AIDEI14V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;11890,1;73410,2;73398,3;73414,6;85304,7;85305,4;2025-03-17T10:05:01.829Z;85307;;;;;;;
10;session_156;17/03/2025 11:05;AIDEI14V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;11969,2;21491,6;21478,8;21495,4;33464,6;33465,5;2025-03-17T10:05:04.942Z;33463;;;;;;;
11;session_156;17/03/2025 11:05;AIDEI14V;;;Prolific ID;html.Form;1;;;;form submission;2849,7;33465,9;33462,06;33463;36312,7;36313;2025-03-17T10:05:07.790Z;36396,624;participant_181;;;;;;
12;session_151;17/03/2025 11:05;AIDEI14V;;;Prolific ID;html.Form;1;;;;form submission;10750,2;85305,7;85306,626;85307;96057,2;96057,5;2025-03-17T10:05:12.581Z;96132,9;participant_179;;;;;;
13;session_156;17/03/2025 11:05;AIDEI14V;;;Experiment Information;html.Form;2;;;;form submission;27584,576;36313,4;36396,624;36396,624;63981,2;63981,6;2025-03-17T10:05:35.459Z;63998,5;;;;;;;
13;session_156;17/03/2025 11:05;AIDEI14V;;;Practice  Screen;canvas.Screen;3_0_0;;;;timeout;16,6;63981,9;63981,956;63998,5;63999,6;63999,9;2025-03-17T10:05:35.477Z;64015,1;;static\living room_0.png;0.0;;;;
14;session_156;17/03/2025 11:05;AIDEI14V;;;Practice Questionnaire;html.Form;3_0_1;;;;form submission;6452,1;64000;63999,6;64015,1;70467,2;70467,5;2025-03-17T10:05:41.945Z;70481,2;;static\living room_0.png;0.0;4.0;4.0;;
14;session_156;17/03/2025 11:05;AIDEI14V;;;Practice  Sequence;flow.Sequence;3_0;;;;completion;6468,7;63981,8;63981,956;63998,5;70467,2;70467,9;2025-03-17T10:05:41.945Z;70481,2;;static\living room_0.png;0.0;;;;
14;session_156;17/03/2025 11:05;AIDEI14V;;;Practice  Screen;canvas.Screen;3_1_0;;;;timeout;17,7;70468,1;70465,062;70481,2;70481,8;70482,1;2025-03-17T10:05:41.959Z;70498,9;;static\office room_24.png;1.0;;;;
15;session_156;17/03/2025 11:05;AIDEI14V;;;Practice Questionnaire;html.Form;3_1_1;;;;form submission;4649,9;70482,2;70481,8;70498,9;75148,8;75149,2;2025-03-17T10:05:46.627Z;75149,3;;static\office room_24.png;1.0;3.0;3.0;;
15;session_156;17/03/2025 11:05;AIDEI14V;;;Practice  Sequence;flow.Sequence;3_1;;;;completion;4667,6;70468;70465,062;70481,2;75148,8;75149,6;2025-03-17T10:05:46.627Z;75149,3;;static\office room_24.png;1.0;;;;
15;session_156;17/03/2025 11:05;AIDEI14V;;;Practice  Screen;canvas.Screen;3_2_0;;;;timeout;15,9;75149,7;75149,16;75149,3;75158,3;75158,7;2025-03-17T10:05:46.636Z;75165,2;;static\restaurant_80.png;2.0;;;;
