Participant id,Status,Started at,Completed at,Time taken,Total approvals,Fluent languages,Dyslexia,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
participant_179,APPROVED,2025-03-17T10:03:32.222000Z,2025-03-17T10:20:12.469000Z,1001.0,171,"Afrikaans, English, Other",No,25,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
participant_181,APPROVED,2025-03-17T10:04:29.100000Z,2025-03-17T10:13:40.800000Z,552.0,118,English,No,26,Female,White,United States,Spain,United States,English,No,Full-Time
participant_171,APPROVED,2025-03-17T10:02:55.219000Z,2025-03-17T10:21:22.328000Z,1108.0,376,"Portuguese, Spanish, English",No,28,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
participant_180,APPROVED,2025-03-17T10:03:35.126000Z,2025-03-17T10:41:31.532000Z,2277.0,0,English,No,32,Male,Mixed,United States,United States,United States,English,No,Full-Time
participant_184,APPROVED,2025-03-17T10:05:10.658000Z,2025-03-17T10:22:00.791000Z,1011.0,695,"English, Afrikaans",No,41,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
participant_170,APPROVED,2025-03-17T10:04:57.695000Z,2025-03-17T10:39:24.581000Z,2067.0,103,"English, French, Portuguese, Spanish",No,31,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
participant_182,APPROVED,2025-03-17T10:04:57.625000Z,2025-03-17T10:30:09.306000Z,1512.0,716,English,No,35,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
participant_174,APPROVED,2025-03-17T10:09:01.433000Z,2025-03-17T10:30:59.979000Z,1319.0,262,"English, Afrikaans",No,27,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
participant_166,APPROVED,2025-03-17T10:09:23.665000Z,2025-03-17T10:24:07.051000Z,884.0,35,"Afrikaans, English",No,49,Female,White,South Africa,South Africa,South Africa,Afrikaans,No,Unemployed (and job seeking)
participant_159,APPROVED,2025-03-17T10:07:00.059000Z,2025-03-17T10:19:01.593000Z,722.0,422,"English, Greek",No,23,Female,White,Greece,Greece,Greece,Greek,No,Full-Time
participant_167,APPROVED,2025-03-17T10:07:08.181000Z,2025-03-17T10:16:07.225000Z,540.0,250,"Polish, English",No,24,Female,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking)
