id;session;timestamp;experiment;data.url;data.meta;data.sender;data.sender_type;data.sender_id;data.consent;data.share;data.;data.ended_on;data.duration;data.time_run;data.time_render;data.time_show;data.time_end;data.time_commit;data.timestamp;data.time_switch;data.ProlificID;data.img_idx_practice;data.counter_practice;data.tense;data.energetic;data.img_idx;data.counter_main
1;session_593;27/03/2025 13:03;AIDEI11A;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;5058,4;50860,4;50231,7;50865,5;55923,9;55924,6;2025-03-27T12:03:42.351Z;55932,1;;;;;;;
2;session_578;27/03/2025 13:07;AIDEI11A;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;98049,2;8557,4;8551,4;8568;106617,2;106617,8;2025-03-27T12:07:31.656Z;106618,8;;;;;;;
3;session_578;27/03/2025 13:07;AIDEI11A;;;Prolific ID;html.Form;1;;;;form submission;4691,1;106618;106618,462;106618,8;111309,9;111310,4;2025-03-27T12:07:36.349Z;111327,4;participant_626;;;;;;
4;session_571;27/03/2025 13:08;AIDEI11A;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;37922,7;14669,4;14664;14678;52600,7;52600,9;2025-03-27T12:08:42.414Z;52602,2;;;;;;;
5;session_571;27/03/2025 13:08;AIDEI11A;;;Prolific ID;html.Form;1;;;;form submission;6663,3;52600,9;52595,2;52602,2;59265,5;59265,5;2025-03-27T12:08:49.079Z;59269;participant_638;;;;;;
6;session_578;27/03/2025 13:08;AIDEI11A;;;Experiment Information;html.Form;2;;;;form submission;72991,9;111310,7;111310,966;111327,4;184319,3;184319,7;2025-03-27T12:08:49.358Z;184331,2;;;;;;;
6;session_578;27/03/2025 13:08;AIDEI11A;;;Practice  Screen;canvas.Screen;3_0_0;;;;timeout;16,7;184319,9;184314,8;184331,2;184332,1;184332,3;2025-03-27T12:08:49.371Z;184347,9;;static\living room_0.png;0.0;;;;
7;session_575;27/03/2025 13:08;AIDEI11A;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;33495,6;39917,3;39900,3;39933,6;73429,2;73429,8;2025-03-27T12:08:55.253Z;73435;;;;;;;
8;session_575;27/03/2025 13:09;AIDEI11A;;;Prolific ID;html.Form;1;;;;form submission;7840,7;73430,2;73428,924;73435;81275,7;81276;2025-03-27T12:09:03.099Z;81291;participant_636;;;;;;
9;session_578;27/03/2025 13:09;AIDEI11A;;;Practice Questionnaire;html.Form;3_0_1;;;;form submission;17795,9;184332,5;184332,1;184347,9;202143,8;202144;2025-03-27T12:09:07.182Z;202147,9;;static\living room_0.png;0.0;6.0;2.0;;
