id;session;timestamp;experiment;data.url;data.meta;data.sender;data.sender_type;data.sender_id;data.consent;data.share;data.;data.ended_on;data.duration;data.time_run;data.time_render;data.time_show;data.time_end;data.time_commit;data.timestamp;data.time_switch;data.ProlificID;data.img_idx_practice;data.counter_practice;data.valence;data.approach;data.img_idx;data.counter_main
1;session_224;18/03/2025 10:29;AIDEI17V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;121308,1;9617,4;9605,6;9622,3;130930,4;130930,9;2025-03-18T09:29:26.258Z;130939,3;;;;;;;
2;session_241;18/03/2025 10:34;AIDEI17V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;12259;14142,9;14133,9;14150,3;26409,3;26409,7;2025-03-18T09:33:56.158Z;26417,6;;;;;;;
3;session_239;18/03/2025 10:53;AIDEI17V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;9558,4;7999,7;7950,83;8017,5;17575,9;17578,3;2025-03-18T09:53:36.238Z;17584,304;;;;;;;
4;session_243;18/03/2025 10:53;AIDEI17V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;129923,9;22178,6;22167,2;22200,6;152124,5;152125;2025-03-18T09:53:37.280Z;152134,2;;;;;;;
5;session_239;18/03/2025 10:53;AIDEI17V;;;Prolific ID;html.Form;1;;;;form submission;6619,796;17579;17584,304;17584,304;24204,1;24205,1;2025-03-18T09:53:42.865Z;24217,8;participant_242;;;;;;
6;session_243;18/03/2025 10:53;AIDEI17V;;;Prolific ID;html.Form;1;;;;form submission;8493,5;152125,2;152117,684;152134,2;160627,7;160628,8;2025-03-18T09:53:45.784Z;160651,02;participant_261;;;;;;
7;session_233;18/03/2025 10:53;AIDEI17V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;46916,9;15777,5;15757,5;15790,8;62707,7;62708;2025-03-18T09:53:48.512Z;62721;;;;;;;
8;session_233;18/03/2025 10:53;AIDEI17V;;;Prolific ID;html.Form;1;;;;form submission;3386,1;62708,2;62704,3;62721;66107,1;66107,5;2025-03-18T09:53:51.912Z;66125,4;participant_273;;;;;;
9;session_240;18/03/2025 10:54;AIDEI17V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;18026,8;33847,7;33828;33861,3;51888,1;51889,1;2025-03-18T09:54:05.967Z;51894,6;;;;;;;
10;session_226;18/03/2025 10:54;AIDEI17V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;53719,5;71436,9;71430;71442,1;125161,6;125161,8;2025-03-18T09:54:06.646Z;125164,8;;;;;;;
11;session_240;18/03/2025 10:54;AIDEI17V;;;Prolific ID;html.Form;1;;;;form submission;5805,7;51889,4;51878,358;51894,6;57700,3;57700,6;2025-03-18T09:54:11.778Z;57727,9;participant_250;;;;;;
12;session_226;18/03/2025 10:54;AIDEI17V;;;Prolific ID;html.Form;1;;;;form submission;12151,7;125162;125158,8;125164,8;137316,5;137316,7;2025-03-18T09:54:18.801Z;137324,7;participant_255;;;;;;
13;session_247;18/03/2025 10:54;AIDEI17V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;37621,668;58278;58239,002;58322,332;95944;95944;2025-03-18T09:54:08.847Z;95954,16;;;;;;;
14;session_247;18/03/2025 10:54;AIDEI17V;;;Prolific ID;html.Form;1;;;;form submission;5848,84;95944;95937,494;95954,16;101803;101804;2025-03-18T09:54:14.707Z;101837,258;participant_268;;;;;;
15;session_239;18/03/2025 10:54;AIDEI17V;;;Experiment Information;html.Form;2;;;;form submission;43194,3;24205,5;24217,79;24217,8;67412,1;67413,6;2025-03-18T09:54:26.073Z;67434,4;;;;;;;
15;session_239;18/03/2025 10:54;AIDEI17V;;;Practice  Screen;canvas.Screen;3_0_0;;;;timeout;16,6;67414,3;67417,734;67434,4;67450,7;67452;2025-03-18T09:54:26.112Z;67451;;static\living room_0.png;0.0;;;;
16;session_233;18/03/2025 10:54;AIDEI17V;;;Experiment Information;html.Form;2;;;;form submission;33829,1;66107,6;66107,662;66125,4;99954,5;99954,8;2025-03-18T09:54:25.759Z;99958,1;;;;;;;
16;session_233;18/03/2025 10:54;AIDEI17V;;;Practice  Screen;canvas.Screen;3_0_0;;;;timeout;16,6;99954,9;99941,528;99958,1;99961,5;99961,7;2025-03-18T09:54:25.766Z;99974,7;;static\living room_0.png;0.0;;;;
17;session_240;18/03/2025 10:54;AIDEI17V;;;Experiment Information;html.Form;2;;;;form submission;18148,5;57700,8;57711,56;57727,9;75876,4;75876,7;2025-03-18T09:54:29.954Z;75878,472;;;;;;;
17;session_240;18/03/2025 10:54;AIDEI17V;;;Practice  Screen;canvas.Screen;3_0_0;;;;timeout;16,228;75876,8;75878,472;75878,472;75885,3;75885,6;2025-03-18T09:54:29.963Z;75894,7;;static\living room_0.png;0.0;;;;
18;session_238;18/03/2025 10:54;AIDEI17V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;12188,4;14642;14624,128;14640,7;26829,1;26829,4;2025-03-18T09:54:38.558Z;26841,6;;;;;;;
19;session_239;18/03/2025 10:54;AIDEI17V;;;Practice Questionnaire;html.Form;3_0_1;;;;form submission;7913,9;67452,4;67450,7;67451;75364,9;75365,6;2025-03-18T09:54:34.025Z;75368,646;;static\living room_0.png;0.0;7.0;6.0;;
19;session_239;18/03/2025 10:54;AIDEI17V;;;Practice  Sequence;flow.Sequence;3_0;;;;completion;7930,5;67414,2;67417,734;67434,4;75364,9;75366,1;2025-03-18T09:54:34.026Z;75368,646;;static\living room_0.png;0.0;;;;
19;session_239;18/03/2025 10:54;AIDEI17V;;;Practice  Screen;canvas.Screen;3_1_0;;;;timeout;49,954;75366,4;75368,646;75368,646;75391,5;75392,5;2025-03-18T09:54:34.052Z;75418,6;;static\office room_24.png;1.0;;;;
20;session_238;18/03/2025 10:54;AIDEI17V;;;Prolific ID;html.Form;1;;;;form submission;5837,3;26829,5;26825,014;26841,6;32678,9;32679,2;2025-03-18T09:54:44.408Z;32708,8;participant_264;;;;;;
21;session_230;18/03/2025 10:54;AIDEI17V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;47718,3;19111,7;19075,9;19125,8;66844,1;66844,4;2025-03-18T09:58:20.892Z;66859,3;;;;;;;
22;session_229;18/03/2025 10:54;AIDEI17V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;51020,8;14955,3;14945,8;14962,2;65983;65983,3;2025-03-18T09:54:35.520Z;65995,7;;;;;;;
23;session_233;18/03/2025 10:54;AIDEI17V;;;Practice Questionnaire;html.Form;3_0_1;;;;form submission;10204,7;99961,8;99961,5;99974,7;110179,4;110179,6;2025-03-18T09:54:35.984Z;110185;;static\living room_0.png;0.0;5.0;5.0;;
23;session_233;18/03/2025 10:54;AIDEI17V;;;Practice  Sequence;flow.Sequence;3_0;;;;completion;10221,3;99954,9;99941,528;99958,1;110179,4;110179,8;2025-03-18T09:54:35.984Z;110185;;static\living room_0.png;0.0;;;;
23;session_233;18/03/2025 10:54;AIDEI17V;;;Practice  Screen;canvas.Screen;3_1_0;;;;timeout;16,6;110179,8;110168,2;110185;110185,3;110185,4;2025-03-18T09:54:35.990Z;110201,6;;static\office room_24.png;1.0;;;;
24;session_240;18/03/2025 10:54;AIDEI17V;;;Practice Questionnaire;html.Form;3_0_1;;;;form submission;6974,8;75885,8;75885,3;75894,7;82869,5;82869,9;2025-03-18T09:54:36.947Z;82877,9;;static\living room_0.png;0.0;6.0;7.0;;
24;session_240;18/03/2025 10:54;AIDEI17V;;;Practice  Sequence;flow.Sequence;3_0;;;;completion;6991,028;75876,8;75878,472;75878,472;82869,5;82870,2;2025-03-18T09:54:36.948Z;82877,9;;static\living room_0.png;0.0;;;;
24;session_240;18/03/2025 10:54;AIDEI17V;;;Practice  Screen;canvas.Screen;3_1_0;;;;timeout;16,6;82870,3;82861,824;82877,9;82882,6;82882,8;2025-03-18T09:54:36.960Z;82894,5;;static\office room_24.png;1.0;;;;
25;session_239;18/03/2025 10:54;AIDEI17V;;;Practice Questionnaire;html.Form;3_1_1;;;;form submission;4172,7;75393,4;75391,5;75418,6;79591,3;79592,3;2025-03-18T09:54:38.252Z;79602,1;;static\office room_24.png;1.0;2.0;3.0;;
25;session_239;18/03/2025 10:54;AIDEI17V;;;Practice  Sequence;flow.Sequence;3_1;;;;completion;4222,654;75366,2;75368,646;75368,646;79591,3;79592,9;2025-03-18T09:54:38.252Z;79602,1;;static\office room_24.png;1.0;;;;
25;session_239;18/03/2025 10:54;AIDEI17V;;;Practice  Screen;canvas.Screen;3_2_0;;;;timeout;16,6;79593,3;79585,416;79602,1;79613,5;79614;2025-03-18T09:54:38.274Z;79618,7;;static\restaurant_80.png;2.0;;;;
26;session_239;18/03/2025 10:54;AIDEI17V;;;Practice Questionnaire;html.Form;3_2_1;;;;form submission;2995,6;79614,3;79613,5;79618,7;82614,3;82616,3;2025-03-18T09:54:41.276Z;82618,8;;static\restaurant_80.png;2.0;6.0;6.0;;
26;session_239;18/03/2025 10:54;AIDEI17V;;;Practice  Sequence;flow.Sequence;3_2;;;;completion;3012,2;79593,1;79585,416;79602,1;82614,3;82616,8;2025-03-18T09:54:41.276Z;82618,8;;static\restaurant_80.png;2.0;;;;
