Participant id,Status,Started at,Completed at,Time taken,Total approvals,Fluent languages,Dyslexia,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
participant_255,APPROVED,2025-03-18T09:50:39.808000Z,2025-03-18T10:08:24.426000Z,1065.0,112,"English, German",No,30,Male,White,Germany,Germany,Germany,German,Yes,Due to start a new job within the next month
participant_268,APPROVED,2025-03-18T09:51:40.546000Z,2025-03-18T10:03:57.752000Z,738.0,150,English,No,34,Female,Black,South Africa,South Africa,South Africa,Other,No,Full-Time
participant_243,APPROVED,2025-03-18T09:53:41.569000Z,2025-03-18T10:06:31.036000Z,770.0,137,English,No,55,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
participant_261,APPROVED,2025-03-18T09:51:03.070000Z,2025-03-18T10:08:03.809000Z,1021.0,622,English,No,32,Female,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
participant_263,RETURNED,2025-03-18T09:51:12.864000Z,,,331,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_273,APPROVED,2025-03-18T09:51:08.443000Z,2025-03-18T10:05:49.154000Z,881.0,224,"Afrikaans, English, French, Other",No,31,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,Full-Time
participant_271,RETURNED,2025-03-18T09:51:31.105000Z,,,668,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_265,RETURNED,2025-03-18T09:56:39.411000Z,,,325,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_252,APPROVED,2025-03-18T09:53:25.122000Z,2025-03-18T10:29:33.360000Z,2169.0,18,"French, English, Portuguese",No,51,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
participant_266,RETURNED,2025-03-18T09:53:34.288000Z,,,2,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_250,APPROVED,2025-03-18T09:53:02.084000Z,2025-03-18T10:01:32.007000Z,510.0,829,"English, Portuguese, Spanish",No,26,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
participant_256,APPROVED,2025-03-18T09:53:24.964000Z,2025-03-18T10:04:34.789000Z,670.0,110,"Afrikaans, English",No,34,Female,White,South Africa,South Africa,South Africa,Afrikaans,No,Full-Time
participant_242,APPROVED,2025-03-18T09:53:12.508000Z,2025-03-18T10:03:14.825000Z,603.0,547,"English, Hungarian",No,35,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
participant_267,RETURNED,2025-03-18T09:54:06.838000Z,,,21,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_264,APPROVED,2025-03-18T09:54:00.289000Z,2025-03-18T10:03:56.193000Z,596.0,100,"English, Polish",No,30,Female,White,Poland,Poland,Poland,Polish,Yes,Full-Time
participant_249,APPROVED,2025-03-18T09:55:13.850000Z,2025-03-18T10:11:14.164000Z,961.0,903,"Hindi, Gujarati, English, Urdu",No,31,Male,Asian,India,United Kingdom,India,English,No,Full-Time
participant_247,APPROVED,2025-03-18T09:59:21.776000Z,2025-03-18T10:09:33.909000Z,613.0,68,"English, Polish",No,21,Female,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
participant_269,APPROVED,2025-03-18T09:59:41.747000Z,2025-03-18T10:12:45.194000Z,784.0,74,"Dutch, English, French",No,26,Male,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
participant_270,APPROVED,2025-03-18T10:00:01.809000Z,2025-03-18T10:15:55.758000Z,954.0,384,"English, Italian",No,23,Male,White,United States,Italy,United States,Italian,Yes,Unemployed (and job seeking)
participant_257,APPROVED,2025-03-18T10:00:06.748000Z,2025-03-18T10:14:03.756000Z,838.0,205,"English, Polish, Ukrainian, French",No,26,Female,White,Ukraine,France,Poland,English,Yes,Full-Time
participant_258,APPROVED,2025-03-18T10:00:33.132000Z,2025-03-18T10:16:03.951000Z,931.0,164,"Catalan, English, French, Spanish",No,21,Female,White,Spain,Spain,Spain,Catalan,Yes,Other
participant_259,APPROVED,2025-03-18T10:01:35.048000Z,2025-03-18T10:14:42.538000Z,788.0,108,"English, Other",No,24,Female,Mixed,South Africa,South Africa,South Africa,English,Yes,Full-Time
participant_262,RETURNED,2025-03-18T10:01:13.667000Z,,,217,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_254,RETURNED,2025-03-18T10:01:49.608000Z,,,31,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_248,APPROVED,2025-03-18T10:02:23.330000Z,2025-03-18T10:18:20.679000Z,958.0,22,"English, Italian",No,33,Male,White,Italy,Italy,Italy,Italian,No,Part-Time
participant_272,APPROVED,2025-03-18T10:03:54.979000Z,2025-03-18T10:16:39.636000Z,765.0,1187,English,No,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
participant_244,APPROVED,2025-03-18T10:04:46.341000Z,2025-03-18T10:19:45.091000Z,899.0,47,English,No,29,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
participant_251,APPROVED,2025-03-18T10:06:17.064000Z,2025-03-18T10:22:03.423000Z,947.0,498,"Dutch, English, German",No,63,Male,White,Netherlands,Portugal,Netherlands,Dutch,No,Other
participant_245,RETURNED,2025-03-18T10:08:03.335000Z,,,621,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_253,APPROVED,2025-03-18T10:08:37.290000Z,2025-03-18T10:28:20.621000Z,1184.0,434,English,No,20,Male,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time
participant_260,APPROVED,2025-03-18T10:10:16.918000Z,2025-03-18T10:32:47.402000Z,1351.0,378,"Polish, English",No,28,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
participant_246,APPROVED,2025-03-18T10:16:48.764000Z,2025-03-18T10:32:17.139000Z,929.0,381,"English, Greek",No,28,Female,White,Greece,Greece,Greece,Greek,No,Full-Time
