,image,edge_density,mean_h_channel,mean_s_channel,mean_v_channel,std_h_channel,std_s_channel,std_v_channel,cnn_symmetry_left_right,cnn_symmetry_up_down,slope_redies,fourier_sigma,2d_fractal_dimension,1st_order_eoe,room_type,reading,gaming,socializing,cleaning,playing,exercise,working,shopping,enclosed area,far-away horizon,open area,semi-enclosed area,bed,window ,cabinet,table,plant,chair,"painting, picture",sofa,lamp,cushion,flower,book,light,orientation5,length7,curvature7
10,dining room home_12261.png,90.553,0.06109,0.3929,0.5178,0.08627,0.1791,0.2298,0.3609,0.398,-2.65,0.00959,1.309,4.116,dining,0.5380169336432067,0.2931686813481352,0.4256563912370789,0.2875482787535759,0.2481407528431558,0.2438581785026704,0.2808188531219041,0.2349116345212427,0.8021475049714303,0.2822464307513364,0.2276120089623501,0.2678202471222318,0,1,1,1,1,1,0,1,1,1,1,0,1,3402.94877465003,513.251515023806,8.5387487791532
11,dining room home_12263.png,111.691,0.05857,0.3257,0.6322,0.1081,0.2914,0.194,0.4874,0.3705,-2.394,0.005447,1.55,4.106,dining,0.5804351367326728,0.2786057401515802,0.3903499550311203,0.2853616890915954,0.2801263751120638,0.2551247885032914,0.2073795670861468,0.233308975612603,0.6829359134946624,0.2230521594739067,0.267250612358779,0.3029784863231575,0,1,0,1,0,1,0,0,0,0,0,0,0,3783.19732488688,182.601857589973,10.155207849507
12,dining room home_12264.png,89.898,0.05624,0.4377,0.5063,0.128,0.3156,0.2283,0.4401,0.3742,-2.648,0.005586,1.32,3.693,dining,0.5316156368381886,0.2888851672216345,0.374855522813644,0.3023742720879501,0.2685527904253564,0.2376492320821626,0.2481879197512953,0.2080369426865052,0.6164713337445399,0.3842353099181478,0.3500663337471281,0.3482472266121076,0,1,1,1,0,1,0,0,1,0,0,1,0,3338.20883808166,227.188164451812,8.10942055890708
13,dining room home_12267.png,93.421,0.2018,0.1902,0.548,0.1965,0.1746,0.2134,0.3748,0.3578,-2.637,0.005294,1.337,3.942,dining,0.5247997188028872,0.2840041931818361,0.3377617298261886,0.3133808090682442,0.3029942575858336,0.2849352690550081,0.2096611581830293,0.2271835801535459,0.6842859955042188,0.2430751324439682,0.2806058596300885,0.3362449259794132,0,1,0,1,0,1,0,0,0,0,0,0,0,3237.54729713716,722.313789618215,20.4303159810731
14,dining room home_12268.png,113.263,0.009751,0.2673,0.5457,0.1532,0.2735,0.2117,0.5175,0.4447,-2.371,0.008368,1.539,4.204,dining,0.5181238707122549,0.2828719684553762,0.4207793500339223,0.2780010718773309,0.2572709411923988,0.2558159365664287,0.224073501983395,0.2376907134843416,0.7782120827759722,0.2298036575726126,0.2063764326526649,0.2891863213046329,0,1,1,1,0,1,1,0,1,0,0,0,1,3788.00230767307,204.509591938188,19.2486861451825
15,dining room home_12269.png,90.874,0.0722,0.2384,0.5813,0.1326,0.1935,0.1651,0.4927,0.4409,-2.48,0.01328,1.456,4.127,dining,0.5621780205481813,0.2612320661886743,0.3420389852653914,0.2753909893497061,0.2816160462590902,0.2953668020861291,0.2029733140115079,0.2104170508399828,0.7567375770092785,0.2244185513316834,0.2096122068340902,0.3244232352915209,0,0,0,1,1,1,0,0,1,0,0,0,0,3648.37854028882,1563.71900766525,2.36864643323363
16,dining room home_12270.png,95.081,0.06766,0.2844,0.5865,0.1096,0.2453,0.2375,0.4537,0.3445,-2.756,0.007397,1.332,4.149,dining,0.5145772143099578,0.2829004570035141,0.4211893485366862,0.275703900230018,0.2585273640730189,0.275494925901581,0.218609483407793,0.2152215493963687,0.7627646329724861,0.2626381448090938,0.2418015302889521,0.2727965467593797,0,1,0,1,0,1,0,1,1,1,1,0,1,3560.22611071234,476.678873588676,11.0963552007439
17,dining room home_12271.png,140.063,0.06806,0.231,0.6036,0.1618,0.2157,0.1888,0.433,0.4877,-2.454,0.009165,1.532,4.319,dining,0.4810622491048264,0.2711398459007882,0.4103893471562753,0.2749704851604518,0.2374803208432141,0.2560931898515109,0.2971078913316754,0.266471261748014,0.7683515371589802,0.2158623542191868,0.2306599871897175,0.2711406197432769,0,1,1,1,0,1,1,0,1,0,1,0,0,2916.0376206384,347.561433325998,20.4822160484978
18,dining room home_12273.png,87.306,0.9915,0.2879,0.6599,0.1926,0.2726,0.1869,0.4747,0.3937,-2.609,0.009647,1.385,3.991,dining,0.4826366564896461,0.2975207630346083,0.3766130837148211,0.3372601790270046,0.2375773651064099,0.2490733646708677,0.2592824200871431,0.2551685176207867,0.7642525317735016,0.3358449895434564,0.2558164704088896,0.2683911153435494,0,1,1,1,0,1,0,0,0,0,1,0,1,3561.97297783578,0.0,11.7515599250773
19,dining room home_12274.png,113.537,0.9814,0.2419,0.5814,0.1545,0.2493,0.2111,0.4617,0.4009,-2.813,0.006846,1.386,4.188,dining,0.470096227845756,0.2544751082983261,0.3768811118059036,0.2569053428861898,0.2125785477622014,0.2134529249909871,0.2295588067011862,0.21864102707342,0.7681565338343885,0.2538234158516781,0.2613153230865878,0.2262296394883187,0,0,0,1,0,1,1,0,0,0,1,0,0,3698.16564999976,194.469967749294,24.8765640726687
20,dining room home_12275.png,73.084,0.05465,0.3038,0.5767,0.1506,0.2717,0.1798,0.4014,0.3958,-2.449,0.0141,1.373,3.993,dining,0.4919740152849067,0.2642244830972259,0.344784321197177,0.2785676707540497,0.2334378919831493,0.2430208074423277,0.2530026847815346,0.2059267205598388,0.8222339547208224,0.2435878082140113,0.1942151747396398,0.2309342199238589,0,1,1,1,1,1,1,0,0,0,0,0,1,3888.46295122242,0.0,18.2366247267059
21,dining room home_12276.png,130.245,0.09026,0.3415,0.5312,0.1673,0.2603,0.234,0.4541,0.4213,-2.58,0.007964,1.433,3.939,dining,0.5315009253399727,0.2675347722783216,0.4550387070451381,0.2996835631288204,0.2211243653713612,0.2105640193443722,0.2277196598569361,0.202922114649864,0.7457730086549806,0.248195409930125,0.2194572381191357,0.2835568454515976,0,1,1,1,1,1,0,0,1,0,0,0,1,3537.65452277284,341.378033176194,21.5127735807482
22,dining room home_12277.png,97.152,0.9728,0.2803,0.5478,0.2215,0.2213,0.2648,0.4271,0.423,-2.677,0.003611,1.395,4.301,dining,0.5617968277989949,0.3098747182392219,0.4248116273737796,0.2954016216646136,0.2831142678846221,0.2654774983295864,0.2137754447604415,0.2213902788931609,0.7660041840941514,0.267118593370255,0.2589437947873695,0.2864644587720103,0,1,1,1,0,1,1,1,1,1,0,0,1,2561.34901903006,313.577978908391,24.9122325003668
23,dining room home_12278.png,103.652,0.08626,0.3246,0.5702,0.1769,0.2203,0.2832,0.4465,0.4163,-2.659,0.008791,1.28,4.041,dining,0.52471884550447,0.2891647185810352,0.4203612135231638,0.2859192216389737,0.2450592068777234,0.2419276333174451,0.2296508294805153,0.2363214257025716,0.7719099778314723,0.280536273638642,0.2161254126054751,0.2885703969642725,0,1,1,1,0,1,1,0,1,0,1,0,0,3658.34724330018,0.0,26.346652984764
24,dining room home_12279.png,123.104,0.04452,0.2547,0.5957,0.1305,0.2228,0.1912,0.4747,0.481,-2.595,0.01305,1.462,4.092,dining,0.5053963878964473,0.2789421708216841,0.3936364295931128,0.2875990700605451,0.2505029505242979,0.2324116190685559,0.265727536249477,0.2552061234531002,0.6998190017686994,0.2490275544936248,0.2459743488825792,0.293007428241901,0,1,1,1,0,1,1,1,1,1,1,0,1,3640.93678693602,194.069258677299,9.44473507452536
