id;session;timestamp;experiment;data.url;data.meta;data.sender;data.sender_type;data.sender_id;data.consent;data.share;data.;data.ended_on;data.duration;data.time_run;data.time_render;data.time_show;data.time_end;data.time_commit;data.timestamp;data.time_switch;data.ProlificID;data.img_idx_practice;data.counter_practice;data.tense;data.energetic;data.img_idx;data.counter_main
3;session_977;26/03/2025 10:04;AIDEI8A;;;Sequence;flow.Sequence;5_3;;;;completion;2022,3;37489,5;37474,526;37490,6;39512,9;39513,2;2025-03-26T09:04:01.952Z;39524,4;;;;;;restaurant__283.png;3.0
3;session_977;26/03/2025 10:04;AIDEI8A;;;Screen;canvas.Screen;5_4_0;;;;timeout;16,7;39513,2;39507,724;39524,4;39524,9;39525;2025-03-26T09:04:01.964Z;39541,1;;;;;;dining room__96.png;4.0
3;session_977;26/03/2025 10:04;AIDEI8A;;;Questionnaire;html.Form;5_4_1;;;;form submission;2428,2;39525,1;39524,9;39541,1;41969,3;41969,3;2025-03-26T09:04:04.408Z;41974,4;;;;4.0;5.0;dining room__96.png;4.0
3;session_977;26/03/2025 10:04;AIDEI8A;;;Sequence;flow.Sequence;5_4;;;;completion;2444,9;39513,2;39507,724;39524,4;41969,3;41969,5;2025-03-26T09:04:04.408Z;41974,4;;;;;;dining room__96.png;4.0
3;session_977;26/03/2025 10:04;AIDEI8A;;;Screen;canvas.Screen;5_5_0;;;;timeout;16,8;41969,5;41974,396;41974,4;41976;41976,1;2025-03-26T09:04:04.415Z;41991,2;;;;;;restaurant__0.png;5.0
4;session_977;26/03/2025 10:04;AIDEI8A;;;Questionnaire;html.Form;5_5_1;;;;form submission;3205,9;41976,2;41976;41991,2;45197,1;45197,2;2025-03-26T09:04:07.636Z;45207,5;;;;2.0;3.0;restaurant__0.png;5.0
4;session_977;26/03/2025 10:04;AIDEI8A;;;Sequence;flow.Sequence;5_5;;;;completion;3222,7;41969,5;41974,396;41974,4;45197,1;45197,3;2025-03-26T09:04:07.636Z;45207,5;;;;;;restaurant__0.png;5.0
4;session_977;26/03/2025 10:04;AIDEI8A;;;Screen;canvas.Screen;5_6_0;;;;timeout;16,7;45197,4;45191,458;45207,5;45207,9;45208,2;2025-03-26T09:04:07.647Z;45224,2;;;;;;dining room__79.png;6.0
5;session_987;26/03/2025 10:06;AIDEI8A;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;8282,2;11038,3;11016,53;11049,6;19331,8;19332,3;2025-03-26T09:06:00.279Z;19333,276;;;;;;;
6;session_986;26/03/2025 10:08;AIDEI8A;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;30357,7;27019,1;27003,098;27036,1;57393,8;57394,9;2025-03-26T09:08:45.330Z;57403,1;;;;;;;
7;session_994;26/03/2025 10:09;AIDEI8A;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;44651,7;13180,5;13136,6;13220,1;57871,8;57872,6;2025-03-26T09:07:05.853Z;57881,2;;;;;;;
8;session_986;26/03/2025 10:09;AIDEI8A;;;Prolific ID;html.Form;1;;;;form submission;21101,9;57395,3;57403,03;57403,1;78505;78505,4;2025-03-26T09:09:06.440Z;78536,858;participant_1089;;;;;;
9;session_994;26/03/2025 10:09;AIDEI8A;;;Prolific ID;html.Form;1;;;;form submission;4563,8;57873,1;57864,686;57881,2;62445;62447;2025-03-26T09:07:10.427Z;62469,226;participant_1078;;;;;;
10;session_986;26/03/2025 10:09;AIDEI8A;;;Experiment Information;html.Form;2;;;;form submission;20056,142;78505,5;78536,858;78536,858;98593;98593,3;2025-03-26T09:09:26.528Z;98603,976;;;;;;;
10;session_986;26/03/2025 10:09;AIDEI8A;;;Practice  Screen;canvas.Screen;3_0_0;;;;timeout;33,124;98593,6;98603,976;98603,976;98622,4;98623,7;2025-03-26T09:09:26.558Z;98637,1;;static\living room_0.png;0.0;;;;
11;session_999;26/03/2025 10:09;AIDEI8A;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;43878;17540,7;17522,6;17555,9;61433,9;61434,4;2025-03-26T09:13:43.112Z;61439,3;;;;;;;
12;session_999;26/03/2025 10:09;AIDEI8A;;;Prolific ID;html.Form;1;;;;form submission;5457,6;61434,6;61422,73;61439,3;66896,9;66897,2;2025-03-26T09:13:48.575Z;66922,7;participant_1073;;;;;;
13;session_986;26/03/2025 10:09;AIDEI8A;;;Practice Questionnaire;html.Form;3_0_1;;;;form submission;25524,7;98624;98622,4;98637,1;124161,8;124161,9;2025-03-26T09:09:52.097Z;124170,7;;static\living room_0.png;0.0;7.0;3.0;;
13;session_986;26/03/2025 10:09;AIDEI8A;;;Practice  Sequence;flow.Sequence;3_0;;;;completion;25557,824;98593,5;98603,976;98603,976;124161,8;124162,1;2025-03-26T09:09:52.097Z;124170,7;;static\living room_0.png;0.0;;;;
13;session_986;26/03/2025 10:09;AIDEI8A;;;Practice  Screen;canvas.Screen;3_1_0;;;;timeout;16,7;124162,3;124154,098;124170,7;124171,2;124171,3;2025-03-26T09:09:52.106Z;124187,4;;static\office room_24.png;1.0;;;;
14;session_1005;26/03/2025 10:09;AIDEI8A;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;99513,3;11184,4;11135,5;11215,5;110728,8;110737,7;2025-03-26T09:09:54.627Z;110767,1;;;;;;;
15;session_1005;26/03/2025 10:10;AIDEI8A;;;Prolific ID;html.Form;1;;;;form submission;4798,8;110740,9;110700,2;110767,1;115565,9;115566,6;2025-03-26T09:09:59.456Z;115605,5;participant_1095;;;;;;
16;session_986;26/03/2025 10:10;AIDEI8A;;;Practice Questionnaire;html.Form;3_1_1;;;;form submission;17595,7;124171,5;124171,2;124187,4;141783,1;141783,3;2025-03-26T09:10:09.718Z;141787,7;;static\office room_24.png;1.0;4.0;5.0;;
16;session_986;26/03/2025 10:10;AIDEI8A;;;Practice  Sequence;flow.Sequence;3_1;;;;completion;17612,4;124162,2;124154,098;124170,7;141783,1;141783,4;2025-03-26T09:10:09.718Z;141787,7;;static\office room_24.png;1.0;;;;
16;session_986;26/03/2025 10:10;AIDEI8A;;;Practice  Screen;canvas.Screen;3_2_0;;;;timeout;16,7;141783,5;141771,27;141787,7;141788,7;141789;2025-03-26T09:10:09.724Z;141804,4;;static\restaurant_80.png;2.0;;;;
17;session_986;26/03/2025 10:10;AIDEI8A;;;Practice Questionnaire;html.Form;3_2_1;;;;form submission;8524,7;141789,2;141788,7;141804,4;150329,1;150329,3;2025-03-26T09:10:18.264Z;150337,7;;static\restaurant_80.png;2.0;6.0;6.0;;
17;session_986;26/03/2025 10:10;AIDEI8A;;;Practice  Sequence;flow.Sequence;3_2;;;;completion;8541,4;141783,5;141771,27;141787,7;150329,1;150329,6;2025-03-26T09:10:18.264Z;150337,7;;static\restaurant_80.png;2.0;;;;
17;session_986;26/03/2025 10:10;AIDEI8A;;;Practice Loop;flow.Loop;3;;;;completion;51725,124;98593,5;98603,976;98603,976;150329,1;150329,7;2025-03-26T09:10:18.264Z;150337,7;;;;;;;
18;session_1005;26/03/2025 10:10;AIDEI8A;;;Experiment Information;html.Form;2;;;;form submission;20016,9;115567;115572;115605,5;135622,4;135623;2025-03-26T09:10:19.512Z;135661,9;;;;;;;
18;session_1005;26/03/2025 10:10;AIDEI8A;;;Practice  Screen;canvas.Screen;3_0_0;;;;timeout;17,4;135623,7;135628,6;135661,9;135674;135674,8;2025-03-26T09:10:19.564Z;135679,3;;static\living room_0.png;0.0;;;;
