Participant id,Status,Started at,Completed at,Time taken,Total approvals,Fluent languages,Dyslexia,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
participant_1101,RETURNED,2025-03-26T09:08:01.198000Z,,,82,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_1089,APPROVED,2025-03-26T09:07:40.413000Z,2025-03-26T09:24:54.278000Z,1034.0,39,"Afrikaans, English, Other",No,28,Male,Mixed,South Africa,South Africa,South Africa,Afrikaans,No,Full-Time
participant_1095,APPROVED,2025-03-26T09:08:01.638000Z,2025-03-26T09:17:37.965000Z,577.0,118,"Afrikaans, English",No,25,Female,White,South Africa,South Africa,South Africa,Afrikaans,No,Unemployed (and job seeking)
participant_1076,APPROVED,2025-03-26T09:08:11.597000Z,2025-03-26T09:28:50.347000Z,1239.0,0,English,No,23,Female,White,United States,United States,United States,English,No,Part-Time
participant_1078,APPROVED,2025-03-26T09:08:04.066000Z,2025-03-26T09:29:10.184000Z,1267.0,550,"Greek, English",No,53,Male,White,Greece,Greece,Greece,Greek,No,Full-Time
participant_1073,APPROVED,2025-03-26T09:08:25.627000Z,2025-03-26T09:23:21.470000Z,896.0,49,"Russian, English, Greek",No,37,Female,White,Russian Federation,Greece,Russian Federation,Russian,Yes,Part-Time
participant_1100,TIMED-OUT,2025-03-26T09:13:58.375000Z,,113494.0,487,English,No,49,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
participant_1092,RETURNED,2025-03-26T09:10:04.868000Z,,,494,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_1097,APPROVED,2025-03-26T09:10:29.423000Z,2025-03-26T09:38:01.705000Z,1653.0,526,English,No,21,Female,Black,Cote d'Ivoire,South Africa,Cote d'Ivoire,French,Yes,Unemployed (and job seeking)
participant_1082,APPROVED,2025-03-26T09:10:35.618000Z,2025-03-26T09:38:40.566000Z,1685.0,355,English,No,49,Female,White,United States,France,United States,English,No,Part-Time
participant_1094,APPROVED,2025-03-26T09:11:19.973000Z,2025-03-26T09:25:41.463000Z,862.0,165,"Estonian, English, Russian",No,30,Female,White,Estonia,Estonia,Estonia,Estonian,No,Full-Time
participant_1090,APPROVED,2025-03-26T09:11:50.051000Z,2025-03-26T09:42:52.567000Z,1863.0,62,English,No,20,Female,Mixed,South Africa,South Africa,South Africa,English,Yes,Full-Time
participant_1084,RETURNED,2025-03-26T09:21:33.994000Z,,,78,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_1087,APPROVED,2025-03-26T09:12:48.513000Z,2025-03-26T09:28:31.343000Z,943.0,10,"Afrikaans, English",No,23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
participant_1072,APPROVED,2025-03-26T09:12:03.588000Z,2025-03-26T09:38:47.764000Z,1605.0,169,English,No,29,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
participant_1093,APPROVED,2025-03-26T09:12:16.956000Z,2025-03-26T09:49:03.403000Z,2207.0,605,English,No,26,Female,Black,Uganda,South Africa,Uganda,English,No,Full-Time
participant_1099,APPROVED,2025-03-26T09:13:35.714000Z,2025-03-26T10:05:44.582000Z,3129.0,545,English,No,23,Male,Black,Zimbabwe,South Africa,Zimbabwe,English,Yes,DATA_EXPIRED
participant_1085,APPROVED,2025-03-26T09:13:43.273000Z,2025-03-26T09:28:30.757000Z,888.0,688,English,No,34,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
participant_1081,APPROVED,2025-03-26T09:13:40.906000Z,2025-03-26T09:37:54.288000Z,1454.0,80,English,No,23,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
participant_1103,RETURNED,2025-03-26T09:15:49.599000Z,,,19,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_1096,APPROVED,2025-03-26T09:21:22.178000Z,2025-03-26T09:50:39.827000Z,1758.0,14,English,No,36,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
participant_1080,APPROVED,2025-03-26T09:20:12.020000Z,2025-03-26T09:35:36.134000Z,925.0,380,English,No,30,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
participant_1077,RETURNED,2025-03-26T09:19:45.311000Z,,,17,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_1083,TIMED-OUT,2025-03-26T09:20:07.119000Z,,37589406.0,36,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
participant_1091,APPROVED,2025-03-26T09:20:38.606000Z,2025-03-26T09:31:24.022000Z,646.0,94,"Portuguese, English, Spanish",No,30,Female,Mixed,Brazil,Portugal,Brazil,Portuguese,No,Full-Time
participant_1088,RETURNED,2025-03-26T09:22:50.973000Z,,,41,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_1074,APPROVED,2025-03-26T09:22:54.279000Z,2025-03-26T09:39:32.102000Z,998.0,3,"English, Arabic",No,22,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
participant_1086,APPROVED,2025-03-26T09:25:15.994000Z,2025-03-26T09:54:14.797000Z,1739.0,1021,"Afrikaans, English, French, German, Portuguese",No,38,Female,Black,Zimbabwe,South Africa,South Africa,English,Yes,Full-Time
participant_1079,APPROVED,2025-03-26T09:27:48.596000Z,2025-03-26T09:45:40.649000Z,1073.0,11,"Afrikaans, English",No,25,Male,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
participant_1105,APPROVED,2025-03-26T09:46:21.452000Z,2025-03-26T10:22:41.073000Z,2180.0,543,"English, Spanish",No,28,Male,Other,Mexico,Mexico,Mexico,Spanish,Yes,Unemployed (and job seeking)
participant_1104,APPROVED,2025-03-26T10:30:26.801000Z,2025-03-26T10:44:36.971000Z,851.0,1609,"English, Italian",No,47,Male,White,Italy,Italy,Italy,Italian,No,Part-Time
participant_1102,APPROVED,2025-03-26T10:30:30.187000Z,2025-03-26T10:46:49.159000Z,979.0,553,English,No,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
