id;session;timestamp;experiment;data.url;data.meta;data.sender;data.sender_type;data.sender_id;data.consent;data.share;data.;data.ended_on;data.duration;data.time_run;data.time_render;data.time_show;data.time_end;data.time_commit;data.timestamp;data.time_switch;data.ProlificID;data.img_idx_practice;data.counter_practice;data.valence;data.approach;data.img_idx;data.counter_main
1;session_60;14/03/2025 11:21;AIDEI11V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;9352,3;12036,1;12017,032;12033,8;21386,1;21386,6;2025-03-14T10:21:33.889Z;21400,3;;;;;;;
2;session_60;14/03/2025 11:21;AIDEI11V;;;Prolific ID;html.Form;1;;;;form submission;4379,1;21386,9;21383,856;21400,3;25779,4;25779,7;2025-03-14T10:21:38.282Z;25783,76;TESTFATIH;;;;;;
3;session_60;14/03/2025 11:21;AIDEI11V;;;Experiment Information;html.Form;2;;;;form submission;3631,04;25780;25783,76;25783,76;29414,8;29415,1;2025-03-14T10:21:41.918Z;29417,13;;;;;;;
3;session_60;14/03/2025 11:21;AIDEI11V;;;Practice  Screen;canvas.Screen;3_0_0;;;;timeout;16,57;29415,4;29417,13;29417,13;29421,3;29421,6;2025-03-14T10:21:41.924Z;29433,7;;static\living room_0.png;0.0;;;;
4;session_60;14/03/2025 11:21;AIDEI11V;;;Practice Questionnaire;html.Form;3_0_1;;;;form submission;4787,8;29421,8;29421,3;29433,7;34221,5;34221,8;2025-03-14T10:21:46.724Z;34233,5;;static\living room_0.png;0.0;7.0;6.0;;
4;session_60;14/03/2025 11:21;AIDEI11V;;;Practice  Sequence;flow.Sequence;3_0;;;;completion;4804,37;29415,3;29417,13;29417,13;34221,5;34222,2;2025-03-14T10:21:46.725Z;34233,5;;static\living room_0.png;0.0;;;;
4;session_60;14/03/2025 11:21;AIDEI11V;;;Practice  Screen;canvas.Screen;3_1_0;;;;timeout;16,8;34222,4;34217,294;34233,5;34234;34234,2;2025-03-14T10:21:46.737Z;34250,3;;static\office room_24.png;1.0;;;;
4;session_60;14/03/2025 11:21;AIDEI11V;;;Practice Questionnaire;html.Form;3_1_1;;;;form submission;1855,1;34234,3;34234;34250,3;36105,4;36105,7;2025-03-14T10:21:48.608Z;36116,5;;static\office room_24.png;1.0;6.0;7.0;;
4;session_60;14/03/2025 11:21;AIDEI11V;;;Practice  Sequence;flow.Sequence;3_1;;;;completion;1871,9;34222,3;34217,294;34233,5;36105,4;36105,9;2025-03-14T10:21:48.608Z;36116,5;;static\office room_24.png;1.0;;;;
4;session_60;14/03/2025 11:21;AIDEI11V;;;Practice  Screen;canvas.Screen;3_2_0;;;;timeout;17,1;36106,1;36100,53;36116,5;36117;36117,3;2025-03-14T10:21:48.620Z;36133,6;;static\restaurant_80.png;2.0;;;;
5;session_60;14/03/2025 11:21;AIDEI11V;;;Practice Questionnaire;html.Form;3_2_1;;;;form submission;2864;36117,5;36117;36133,6;38997,6;38997,9;2025-03-14T10:21:51.500Z;39016,5;;static\restaurant_80.png;2.0;6.0;6.0;;
5;session_60;14/03/2025 11:21;AIDEI11V;;;Practice  Sequence;flow.Sequence;3_2;;;;completion;2881,1;36106;36100,53;36116,5;38997,6;38998,1;2025-03-14T10:21:51.501Z;39016,5;;static\restaurant_80.png;2.0;;;;
5;session_60;14/03/2025 11:21;AIDEI11V;;;Practice Loop;flow.Loop;3;;;;completion;9580,47;29415,3;29417,13;29417,13;38997,6;38998,4;2025-03-14T10:21:51.501Z;39016,5;;;;;;;
5;session_60;14/03/2025 11:21;AIDEI11V;;;Experiment Information Main;html.Form;4;;;;form submission;880,5;38998,6;38999,8;39016,5;39897;39897,2;2025-03-14T10:21:52.400Z;39900,8;;;;;;;
5;session_60;14/03/2025 11:21;AIDEI11V;;;Screen;canvas.Screen;5_0_0;;;;timeout;15,8;39897,6;39883,358;39900,8;39901,6;39902,2;2025-03-14T10:21:52.405Z;39916,6;;;;;;dining room__34.png;0.0
6;session_60;14/03/2025 11:22;AIDEI11V;;;Questionnaire;html.Form;5_0_1;;;;form submission;2941;39902,4;39901,6;39916,6;42857,6;42857,9;2025-03-14T10:21:55.360Z;42866,6;;;;4.0;5.0;dining room__34.png;0.0
6;session_60;14/03/2025 11:22;AIDEI11V;;;Sequence;flow.Sequence;5_0;;;;completion;2956,8;39897,5;39883,358;39900,8;42857,6;42858,1;2025-03-14T10:21:55.361Z;42866,6;;;;;;dining room__34.png;0.0
6;session_60;14/03/2025 11:22;AIDEI11V;;;Screen;canvas.Screen;5_1_0;;;;timeout;17,3;42858,3;42850,692;42866,6;42867,2;42867,3;2025-03-14T10:21:55.370Z;42883,9;;;;;;office__198.png;1.0
7;session_60;14/03/2025 11:22;AIDEI11V;;;Questionnaire;html.Form;5_1_1;;;;form submission;2891,5;42867,6;42867,2;42883,9;45775,4;45775,6;2025-03-14T10:21:58.278Z;45783,8;;;;6.0;7.0;office__198.png;1.0
