Participant id,Status,Started at,Completed at,Time taken,Total approvals,Fluent languages,Dyslexia,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
participant_72,APPROVED,2025-03-14T10:33:45.026000Z,2025-03-14T10:47:09.664000Z,805.0,102,English,No,24,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
participant_73,APPROVED,2025-03-14T10:36:21.024000Z,2025-03-14T10:53:36.503000Z,1036.0,351,English,No,57,Female,White,Canada,Canada,Canada,English,No,Full-Time
participant_90,APPROVED,2025-03-14T10:37:37.820000Z,2025-03-14T10:50:22.259000Z,765.0,25,"Croatian, English",No,27,Female,White,Croatia,Croatia,Croatia,Croatian,No,DATA_EXPIRED
participant_71,TIMED-OUT,2025-03-14T10:37:47.805000Z,,8800.0,145,English,No,28,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
participant_78,APPROVED,2025-03-14T10:37:24.367000Z,2025-03-14T10:57:41.957000Z,1218.0,46,"Afrikaans, Albanian, Arabic, Armenian, Basque, Bengali, Belarusian, Burmese, Bulgarian, Catalan, Czech, Chinese, Croatian, Danish, Dari, Dzongkha, Dutch, English, Esperanto, Estonian, Faroese, Farsi, Finnish, French, Gaelic, Galician, German, Greek, Hebrew, Hindi, Hungarian, Icelandic, Indonesian, Inuktitut, Italian, Japanese, Khmer, Korean, Kurdish, Laotian, Latvian, Lappish, Lithuanian, Macedonian, Malay, Maltese, Nepali, Norwegian, Polish, Portuguese, Romanian, Russian, Scots, Serbian, Slovak, Slovenian, Somali, Spanish, Swedish, Swahili, Tagalog-Filipino, Tajik, Tamil, Thai, Tibetan, Tongan, Turkish, Turkmen, Ukrainian, Urdu, Uzbek, Welsh, Vietnamese, Cantonese, Mandarin",No,21,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
participant_83,APPROVED,2025-03-14T10:39:26.228000Z,2025-03-14T11:20:39.290000Z,2474.0,27,"Afrikaans, English, Other",No,21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
participant_85,APPROVED,2025-03-14T10:40:39.832000Z,2025-03-14T10:59:47.730000Z,1148.0,36,English,No,27,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
participant_79,APPROVED,2025-03-14T10:40:51.432000Z,2025-03-14T10:56:20.782000Z,930.0,199,"English, Italian",No,22,Female,Black,Italy,Italy,Italy,Italian,DATA_EXPIRED,DATA_EXPIRED
participant_63,RETURNED,2025-03-14T10:41:54.855000Z,,,2,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_86,APPROVED,2025-03-14T10:41:02.727000Z,2025-03-14T10:52:32.421000Z,690.0,2373,English,No,57,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
participant_80,RETURNED,2025-03-14T10:41:35.706000Z,,,480,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_74,APPROVED,2025-03-14T10:43:44.352000Z,2025-03-14T10:56:21.289000Z,757.0,119,"English, Portuguese",No,23,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
participant_66,APPROVED,2025-03-14T10:46:20.961000Z,2025-03-14T11:03:06.484000Z,1006.0,78,English,No,31,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
participant_77,APPROVED,2025-03-14T10:45:26.456000Z,2025-03-14T11:04:23.165000Z,1137.0,0,"Afrikaans, English",No,28,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
participant_68,APPROVED,2025-03-14T10:45:26.055000Z,2025-03-14T11:24:52.455000Z,2367.0,174,"English, Lithuanian",No,28,Male,White,Lithuania,United Kingdom,Lithuania,English,No,Part-Time
