image,tense,energetic,valence,approach,room_type
bedroom__174.png,4.0,3.761904761904762,3.6666666666666665,3.7916666666666665,bedroom
bedroom__175.png,3.0,3.375,3.7916666666666665,3.625,bedroom
bedroom__176.png,2.6666666666666665,2.5833333333333335,5.416666666666667,5.291666666666667,bedroom
bedroom__177.png,2.9166666666666665,2.75,4.208333333333333,3.9583333333333335,bedroom
bedroom__178.png,2.5833333333333335,2.875,4.086956521739131,4.130434782608695,bedroom
bedroom__179.png,4.238095238095238,3.142857142857143,3.5833333333333335,3.4166666666666665,bedroom
bedroom__18.png,2.4166666666666665,3.0,5.125,5.0,bedroom
bedroom__180.png,2.5416666666666665,2.7083333333333335,5.173913043478261,5.0,bedroom
bedroom__181.png,1.75,2.5833333333333335,5.4,5.3,bedroom
bedroom__182.png,2.619047619047619,3.5238095238095237,5.041666666666667,4.75,bedroom
bedroom__183.png,1.8333333333333333,2.5416666666666665,4.75,4.791666666666667,bedroom
bedroom__184.png,3.0416666666666665,2.9166666666666665,3.5416666666666665,3.4583333333333335,bedroom
bedroom__185.png,2.1739130434782608,2.130434782608696,4.956521739130435,4.913043478260869,bedroom
bedroom__186.png,2.0833333333333335,2.6666666666666665,4.913043478260869,5.130434782608695,bedroom
bedroom__187.png,2.6666666666666665,2.625,4.136363636363637,4.363636363636363,bedroom
bedroom__188.png,1.608695652173913,2.5217391304347827,6.2105263157894735,6.2631578947368425,bedroom
bedroom__189.png,2.1666666666666665,3.25,5.708333333333333,5.791666666666667,bedroom
bedroom__19.png,5.095238095238095,4.476190476190476,2.2083333333333335,2.3333333333333335,bedroom
bedroom__190.png,2.6666666666666665,2.380952380952381,3.5,3.75,bedroom
bedroom__191.png,3.5833333333333335,3.6666666666666665,3.2083333333333335,3.375,bedroom
bedroom__192.png,2.4583333333333335,3.1666666666666665,4.173913043478261,4.217391304347826,bedroom
bedroom__193.png,2.875,3.3333333333333335,4.913043478260869,4.6521739130434785,bedroom
bedroom__194.png,3.25,3.2083333333333335,4.478260869565218,4.565217391304348,bedroom
bedroom__195.png,2.8333333333333335,2.5,4.7894736842105265,4.7894736842105265,bedroom
bedroom__196.png,2.2083333333333335,3.0416666666666665,5.0,4.956521739130435,bedroom
bedroom__197.png,3.4583333333333335,2.5833333333333335,4.391304347826087,4.260869565217392,bedroom
bedroom__198.png,2.0416666666666665,1.8333333333333333,5.473684210526316,5.526315789473684,bedroom
bedroom__199.png,3.7083333333333335,3.375,2.7916666666666665,2.7083333333333335,bedroom
bedroom__2.png,1.9583333333333333,2.7083333333333335,5.25,5.208333333333333,bedroom
