id;session;timestamp;experiment;data.url;data.meta;data.sender;data.sender_type;data.sender_id;data.consent;data.share;data.;data.ended_on;data.duration;data.time_run;data.time_render;data.time_show;data.time_end;data.time_commit;data.timestamp;data.time_switch;data.ProlificID;data.img_idx_practice;data.counter_practice;data.valence;data.approach;data.img_idx;data.counter_main
1;session_495;13/03/2025 09:32;AIDEI9V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;322578,2;13829,5;13820,6;13837;336415,2;336415,5;2025-03-13T08:32:07.824Z;336420,5;;;;;;;
2;session_495;13/03/2025 09:32;AIDEI9V;;;Prolific ID;html.Form;1;;;;form submission;4028,5;336415,6;336404,158;336420,5;340449;340449,1;2025-03-13T08:32:11.858Z;340453,7;TESTFATIH;;;;;;
2;session_495;13/03/2025 09:32;AIDEI9V;;;Experiment Information;html.Form;2;;;;form submission;1536,5;340449,2;340453,694;340453,7;341990,2;341990,4;2025-03-13T08:32:13.399Z;342003,8;;;;;;;
2;session_495;13/03/2025 09:32;AIDEI9V;;;Practice  Screen;canvas.Screen;3_0_0;;;;timeout;17,4;341990,5;341987,866;342003,8;342010,5;342010,6;2025-03-13T08:32:13.420Z;342021,2;;static\living room_0.png;0.0;;;;
2;session_495;13/03/2025 09:32;AIDEI9V;;;Practice Questionnaire;html.Form;3_0_1;;;;form submission;1925,8;342010,7;342010,5;342021,2;343947;343947,1;2025-03-13T08:32:15.356Z;343954;;static\living room_0.png;0.0;7.0;6.0;;
2;session_495;13/03/2025 09:32;AIDEI9V;;;Practice  Sequence;flow.Sequence;3_0;;;;completion;1943,2;341990,5;341987,866;342003,8;343947;343947,3;2025-03-13T08:32:15.356Z;343954;;static\living room_0.png;0.0;;;;
2;session_495;13/03/2025 09:32;AIDEI9V;;;Practice  Screen;canvas.Screen;3_1_0;;;;timeout;16,8;343947,3;343937,464;343954;343955,4;343955,7;2025-03-13T08:32:15.365Z;343970,8;;static\office room_24.png;1.0;;;;
3;session_495;13/03/2025 09:32;AIDEI9V;;;Practice Questionnaire;html.Form;3_1_1;;;;form submission;7696,2;343955,8;343955,4;343970,8;351667;351667,2;2025-03-13T08:32:23.076Z;351670,7;;static\office room_24.png;1.0;4.0;5.0;;
3;session_495;13/03/2025 09:32;AIDEI9V;;;Practice  Sequence;flow.Sequence;3_1;;;;completion;7713;343947,3;343937,464;343954;351667;351667,3;2025-03-13T08:32:23.076Z;351670,7;;static\office room_24.png;1.0;;;;
3;session_495;13/03/2025 09:32;AIDEI9V;;;Practice  Screen;canvas.Screen;3_2_0;;;;timeout;17;351667,4;351654,462;351670,7;351671,2;351671,4;2025-03-13T08:32:23.080Z;351687,7;;static\restaurant_80.png;2.0;;;;
4;session_495;13/03/2025 09:32;AIDEI9V;;;Practice Questionnaire;html.Form;3_2_1;;;;form submission;3111,4;351671,4;351671,2;351687,7;354799,1;354799,3;2025-03-13T08:32:26.208Z;354803,7;;static\restaurant_80.png;2.0;5.0;7.0;;
4;session_495;13/03/2025 09:32;AIDEI9V;;;Practice  Sequence;flow.Sequence;3_2;;;;completion;3128,4;351667,4;351654,462;351670,7;354799,1;354799,4;2025-03-13T08:32:26.208Z;354803,7;;static\restaurant_80.png;2.0;;;;
4;session_495;13/03/2025 09:32;AIDEI9V;;;Practice Loop;flow.Loop;3;;;;completion;12795,3;341990,5;341987,866;342003,8;354799,1;354799,5;2025-03-13T08:32:26.208Z;354803,7;;;;;;;
5;session_495;13/03/2025 09:32;AIDEI9V;;;Experiment Information Main;html.Form;4;;;;form submission;5710,8;354799,6;354787;354803,7;360514,5;360514,6;2025-03-13T08:32:31.923Z;360520,5;;;;;;;
