id;session;timestamp;experiment;data.url;data.meta;data.sender;data.sender_type;data.sender_id;data.consent;data.share;data.;data.ended_on;data.duration;data.time_run;data.time_render;data.time_show;data.time_end;data.time_commit;data.timestamp;data.time_switch;data.ProlificID;data.img_idx_practice;data.counter_practice;data.tense;data.energetic;data.img_idx;data.counter_main
1;session_784;03/04/2025 10:45;AIDEI19A;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;11255,6;6530,6;6505,1;6538,4;17794;17794,2;2025-04-03T08:45:35.466Z;17805,2;;;;;;;
2;session_784;03/04/2025 10:45;AIDEI19A;;;Prolific ID;html.Form;1;;;;form submission;3502,9;17794,4;17789,29;17805,2;21308,1;21308,3;2025-04-03T08:45:38.980Z;21322,2;TESTFATIH;;;;;;
2;session_784;03/04/2025 10:45;AIDEI19A;;;Experiment Information;html.Form;2;;;;form submission;1494,9;21308,4;21305,888;21322,2;22817,1;22817,3;2025-04-03T08:45:40.489Z;22838,8;;;;;;;
2;session_784;03/04/2025 10:45;AIDEI19A;;;Practice  Screen;canvas.Screen;3_0_0;;;;timeout;16,4;22817,4;22822,196;22838,8;22839,7;22840,6;2025-04-03T08:45:40.512Z;22855,2;;static\living room_0.png;0.0;;;;
3;session_784;03/04/2025 10:45;AIDEI19A;;;Practice Questionnaire;html.Form;3_0_1;;;;form submission;2756,7;22840,8;22839,7;22855,2;25611,9;25612;2025-04-03T08:45:43.283Z;25622,5;;static\living room_0.png;0.0;7.0;6.0;;
3;session_784;03/04/2025 10:45;AIDEI19A;;;Practice  Sequence;flow.Sequence;3_0;;;;completion;2773,1;22817,4;22822,196;22838,8;25611,9;25612,1;2025-04-03T08:45:43.284Z;25622,5;;static\living room_0.png;0.0;;;;
3;session_784;03/04/2025 10:45;AIDEI19A;;;Practice  Screen;canvas.Screen;3_1_0;;;;timeout;16,4;25612,2;25605,9;25622,5;25622,9;25623,1;2025-04-03T08:45:43.295Z;25638,9;;static\office room_24.png;1.0;;;;
3;session_784;03/04/2025 10:45;AIDEI19A;;;Practice Questionnaire;html.Form;3_1_1;;;;form submission;1349,3;25623,3;25622,9;25638,9;26988,2;26988,5;2025-04-03T08:45:44.660Z;26989,164;;static\office room_24.png;1.0;6.0;7.0;;
3;session_784;03/04/2025 10:45;AIDEI19A;;;Practice  Sequence;flow.Sequence;3_1;;;;completion;1365,7;25612,2;25605,9;25622,5;26988,2;26988,6;2025-04-03T08:45:44.660Z;26989,164;;static\office room_24.png;1.0;;;;
3;session_784;03/04/2025 10:45;AIDEI19A;;;Practice  Screen;canvas.Screen;3_2_0;;;;timeout;16,336;26988,7;26989,164;26989,164;26992,6;26992,8;2025-04-03T08:45:44.664Z;27005,5;;static\restaurant_80.png;2.0;;;;
