Participant id,Status,Started at,Completed at,Time taken,Total approvals,Fluent languages,Dyslexia,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
participant_875,APPROVED,2025-04-03T08:59:06.788000Z,2025-04-03T09:12:06.907000Z,781.0,20,English,No,32,Male,White,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
participant_863,APPROVED,2025-04-03T09:00:55.820000Z,2025-04-03T09:14:19.560000Z,804.0,95,"Afrikaans, English, Other",No,33,Female,Black,South Africa,South Africa,South Africa,Other,Yes,Full-Time
participant_868,APPROVED,2025-04-03T08:59:12.954000Z,2025-04-03T09:13:49.777000Z,877.0,75,"English, French",No,19,Female,White,France,France,France,French,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
participant_876,APPROVED,2025-04-03T08:59:57.567000Z,2025-04-03T09:12:05.585000Z,729.0,105,English,No,30,Male,Mixed,United States,Spain,United States,English,Yes,Unemployed (and job seeking)
participant_872,APPROVED,2025-04-03T08:59:49.680000Z,2025-04-03T09:19:09.580000Z,1160.0,293,"Spanish, English",No,26,Female,Other,Mexico,Mexico,Mexico,Spanish,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
participant_861,APPROVED,2025-04-03T09:00:02.422000Z,2025-04-03T09:18:51.773000Z,1130.0,736,English,No,44,Female,White,Australia,Australia,Australia,English,No,Full-Time
participant_874,APPROVED,2025-04-03T09:00:48.550000Z,2025-04-03T09:15:54.994000Z,907.0,208,English,No,25,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
participant_865,APPROVED,2025-04-03T09:01:19.611000Z,2025-04-03T09:13:45.871000Z,747.0,939,English,No,29,Male,Black,Nigeria,France,Nigeria,English,No,Full-Time
participant_871,APPROVED,2025-04-03T09:05:12.694000Z,2025-04-03T09:22:36.371000Z,1044.0,621,English,No,41,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
participant_869,APPROVED,2025-04-03T09:03:56.964000Z,2025-04-03T09:11:31.421000Z,455.0,97,English,No,30,Male,White,United Kingdom,Netherlands,United Kingdom,English,No,Full-Time
participant_885,APPROVED,2025-04-03T09:06:06.239000Z,2025-04-03T09:17:13.573000Z,668.0,561,"Hungarian, English",No,32,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Unemployed (and job seeking)
