Participant id,Status,Started at,Completed at,Time taken,Total approvals,Fluent languages,Dyslexia,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
participant_901,APPROVED,2025-03-24T12:48:03.229000Z,2025-03-24T12:59:49.985000Z,707.0,647,"English, Italian",No,25,Female,White,Italy,Italy,Italy,Italian,Yes,Part-Time
participant_898,RETURNED,2025-03-24T12:48:36.039000Z,,,815,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_903,APPROVED,2025-03-24T12:56:11.567000Z,2025-03-24T13:12:25.033000Z,974.0,215,English,No,38,Female,Mixed,United States,South Africa,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
participant_908,APPROVED,2025-03-24T12:48:11.095000Z,2025-03-24T12:56:37.508000Z,507.0,110,"Portuguese, English",No,28,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
participant_918,RETURNED,2025-03-24T12:48:24.015000Z,,,47,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_907,APPROVED,2025-03-24T12:48:24.898000Z,2025-03-24T13:47:39.848000Z,3555.0,321,"English, Portuguese, Spanish",No,26,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
participant_904,APPROVED,2025-03-24T12:50:08.318000Z,2025-03-24T13:11:58.213000Z,1310.0,302,English,No,31,Male,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
participant_914,APPROVED,2025-03-24T12:50:04.615000Z,2025-03-24T13:09:52.701000Z,1189.0,140,"Czech, English",No,21,Male,White,Czech Republic,Czech Republic,Czech Republic,Czech,Yes,Part-Time
participant_897,APPROVED,2025-03-24T12:50:23.744000Z,2025-03-24T13:02:49.798000Z,747.0,385,"English, French, Portuguese, Spanish",No,24,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
participant_887,RETURNED,2025-03-24T12:52:37.118000Z,,,779,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
