id;session;timestamp;experiment;data.url;data.meta;data.sender;data.sender_type;data.sender_id;data.consent;data.share;data.;data.ended_on;data.duration;data.time_run;data.time_render;data.time_show;data.time_end;data.time_commit;data.timestamp;data.time_switch;data.ProlificID;data.img_idx_practice;data.counter_practice;data.tense;data.energetic;data.img_idx;data.counter_main
1;session_812;24/03/2025 13:20;AIDEI2A;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;137595,5;8154,1;8146,1;8162,7;145758,2;145758,6;2025-03-24T12:20:01.923Z;145762,2;;;;;;;
2;session_812;24/03/2025 13:20;AIDEI2A;;;Prolific ID;html.Form;1;;;;form submission;3967,4;145758,8;145745,89;145762,2;149729,6;149729,7;2025-03-24T12:20:05.894Z;149746,1;TESTFATIH;;;;;;
2;session_812;24/03/2025 13:20;AIDEI2A;;;Experiment Information;html.Form;2;;;;form submission;1344,8;149729,9;149729,856;149746,1;151090,9;151091,1;2025-03-24T12:20:07.256Z;151096;;;;;;;
2;session_812;24/03/2025 13:20;AIDEI2A;;;Practice  Screen;canvas.Screen;3_0_0;;;;timeout;16,7;151091,2;151079,4;151096;151098,3;151098,5;2025-03-24T12:20:07.263Z;151112,7;;static\living room_0.png;0.0;;;;
2;session_812;24/03/2025 13:20;AIDEI2A;;;Practice Questionnaire;html.Form;3_0_1;;;;form submission;2416,7;151098,6;151098,3;151112,7;153529,4;153529,6;2025-03-24T12:20:09.694Z;153529,6;;static\living room_0.png;0.0;7.0;6.0;;
2;session_812;24/03/2025 13:20;AIDEI2A;;;Practice  Sequence;flow.Sequence;3_0;;;;completion;2433,4;151091,1;151079,4;151096;153529,4;153529,8;2025-03-24T12:20:09.694Z;153529,6;;static\living room_0.png;0.0;;;;
2;session_812;24/03/2025 13:20;AIDEI2A;;;Practice  Screen;canvas.Screen;3_1_0;;;;timeout;16,4;153529,9;153529,598;153529,6;153533,6;153533,8;2025-03-24T12:20:09.698Z;153546;;static\office room_24.png;1.0;;;;
2;session_812;24/03/2025 13:20;AIDEI2A;;;Practice Questionnaire;html.Form;3_1_1;;;;form submission;2147,5;153533,8;153533,6;153546;155693,5;155693,7;2025-03-24T12:20:11.858Z;155695,3;;static\office room_24.png;1.0;5.0;6.0;;
2;session_812;24/03/2025 13:20;AIDEI2A;;;Practice  Sequence;flow.Sequence;3_1;;;;completion;2163,9;153529,9;153529,598;153529,6;155693,5;155693,8;2025-03-24T12:20:11.858Z;155695,3;;static\office room_24.png;1.0;;;;
2;session_812;24/03/2025 13:20;AIDEI2A;;;Practice  Screen;canvas.Screen;3_2_0;;;;timeout;17;155693,8;155679,064;155695,3;155698,1;155698,3;2025-03-24T12:20:11.863Z;155712,3;;static\restaurant_80.png;2.0;;;;
2;session_812;24/03/2025 13:20;AIDEI2A;;;Practice Questionnaire;html.Form;3_2_1;;;;form submission;1632,8;155698,3;155698,1;155712,3;157345,1;157345,2;2025-03-24T12:20:13.510Z;157345,7;;static\restaurant_80.png;2.0;6.0;5.0;;
2;session_812;24/03/2025 13:20;AIDEI2A;;;Practice  Sequence;flow.Sequence;3_2;;;;completion;1649,8;155693,8;155679,064;155695,3;157345,1;157345,4;2025-03-24T12:20:13.510Z;157345,7;;static\restaurant_80.png;2.0;;;;
2;session_812;24/03/2025 13:20;AIDEI2A;;;Practice Loop;flow.Loop;3;;;;completion;6249,1;151091,1;151079,4;151096;157345,1;157345,4;2025-03-24T12:20:13.510Z;157345,7;;;;;;;
2;session_812;24/03/2025 13:20;AIDEI2A;;;Experiment Information Main;html.Form;4;;;;form submission;863,2;157345,4;157345,66;157345,7;158208,9;158209;2025-03-24T12:20:14.374Z;158212,896;;;;;;;
2;session_812;24/03/2025 13:20;AIDEI2A;;;Screen;canvas.Screen;5_0_0;;;;timeout;16,004;158209,1;158212,896;158212,896;158214,6;158214,6;2025-03-24T12:20:14.379Z;158228,9;;;;;;bedroom__115.png;0.0
3;session_820;24/03/2025 13:43;AIDEI2A;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;8423,3;17094,3;17032,9;17099,9;25523,2;25523,5;2025-03-24T12:43:38.518Z;25532,9;;;;;;;
4;session_820;24/03/2025 13:43;AIDEI2A;;;Prolific ID;html.Form;1;;;;form submission;3535,9;25523,7;25516,692;25532,9;29068,8;29068,9;2025-03-24T12:43:42.063Z;29083,5;TESTFATIH;;;;;;
4;session_820;24/03/2025 13:43;AIDEI2A;;;Experiment Information;html.Form;2;;;;form submission;1418,6;29069,1;29067,054;29083,5;30502,1;30502,3;2025-03-24T12:43:43.496Z;30516,1;;;;;;;
