id;session;timestamp;experiment;data.url;data.meta;data.sender;data.sender_type;data.sender_id;data.consent;data.share;data.;data.ended_on;data.duration;data.time_run;data.time_render;data.time_show;data.time_end;data.time_commit;data.timestamp;data.time_switch;data.ProlificID;data.img_idx_practice;data.counter_practice;data.tense;data.energetic;data.img_idx;data.counter_main
1;session_968;26/03/2025 08:37;AIDEI7A;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;5740,8;15470,6;15334,284;15467,6;21208,4;21208,7;2025-03-26T07:37:05.582Z;21217,8;;;;;;;
2;session_968;26/03/2025 08:37;AIDEI7A;;;Prolific ID;html.Form;1;;;;form submission;3816,4;21208,9;21201,378;21217,8;25034,2;25034,7;2025-03-26T07:37:09.408Z;25034,914;TESTFATIH;;;;;;
2;session_968;26/03/2025 08:37;AIDEI7A;;;Experiment Information;html.Form;2;;;;form submission;1714,586;25034,8;25034,914;25034,914;26749,5;26749,6;2025-03-26T07:37:11.123Z;26767,8;;;;;;;
2;session_968;26/03/2025 08:37;AIDEI7A;;;Practice  Screen;canvas.Screen;3_0_0;;;;timeout;16,5;26749,8;26751,766;26767,8;26768,5;26769,3;2025-03-26T07:37:11.143Z;26784,3;;static\living room_0.png;0.0;;;;
3;session_968;26/03/2025 08:37;AIDEI7A;;;Practice Questionnaire;html.Form;3_0_1;;;;form submission;3015,5;26769,9;26768,5;26784,3;29799,8;29800;2025-03-26T07:37:14.173Z;29817,7;;static\living room_0.png;0.0;5.0;6.0;;
3;session_968;26/03/2025 08:37;AIDEI7A;;;Practice  Sequence;flow.Sequence;3_0;;;;completion;3032;26749,8;26751,766;26767,8;29799,8;29800,2;2025-03-26T07:37:14.174Z;29817,7;;static\living room_0.png;0.0;;;;
3;session_968;26/03/2025 08:37;AIDEI7A;;;Practice  Screen;canvas.Screen;3_1_0;;;;timeout;16,8;29800,4;29801,1;29817,7;29818,1;29818,3;2025-03-26T07:37:14.192Z;29834,5;;static\office room_24.png;1.0;;;;
3;session_968;26/03/2025 08:37;AIDEI7A;;;Practice Questionnaire;html.Form;3_1_1;;;;form submission;2379,3;29818,5;29818,1;29834,5;32213,8;32214,1;2025-03-26T07:37:16.587Z;32218,3;;static\office room_24.png;1.0;4.0;3.0;;
3;session_968;26/03/2025 08:37;AIDEI7A;;;Practice  Sequence;flow.Sequence;3_1;;;;completion;2396,1;29800,2;29801,1;29817,7;32213,8;32214,3;2025-03-26T07:37:16.588Z;32218,3;;static\office room_24.png;1.0;;;;
3;session_968;26/03/2025 08:37;AIDEI7A;;;Practice  Screen;canvas.Screen;3_2_0;;;;timeout;16;32214,6;32201,8;32218,3;32219;32219,3;2025-03-26T07:37:16.593Z;32234,3;;static\restaurant_80.png;2.0;;;;
