Participant id,Status,Started at,Completed at,Time taken,Total approvals,Fluent languages,Dyslexia,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
participant_49,APPROVED,2025-03-13T11:08:41.972000Z,2025-03-13T11:45:37.719000Z,2216.0,73,"English, Other",No,22,Female,White,Poland,Poland,Poland,Polish,Yes,Part-Time
participant_45,APPROVED,2025-03-13T11:03:27.380000Z,2025-03-13T11:45:25.615000Z,2519.0,100,"Portuguese, English, Spanish",No,27,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
participant_30,APPROVED,2025-03-13T11:04:01.388000Z,2025-03-13T11:16:36.957000Z,756.0,323,English,No,35,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
participant_44,APPROVED,2025-03-13T11:05:50.106000Z,2025-03-13T11:19:00.196000Z,791.0,172,English,No,38,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
participant_25,APPROVED,2025-03-13T11:07:23.065000Z,2025-03-13T11:28:37.372000Z,1275.0,124,"English, Other",No,20,Female,Black,South Africa,South Africa,South Africa,Other,Yes,Unemployed (and job seeking)
participant_46,APPROVED,2025-03-13T11:08:42.201000Z,2025-03-13T11:30:18.910000Z,1297.0,149,English,No,25,Female,Black,Nigeria,United Kingdom,Nigeria,English,No,Part-Time
participant_32,RETURNED,2025-03-13T11:16:00.052000Z,,,389,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_33,RETURNED,2025-03-13T11:06:02.097000Z,,,153,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_31,APPROVED,2025-03-13T11:05:54.690000Z,2025-03-13T11:25:56.274000Z,1202.0,91,"English, Other",No,27,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
participant_57,APPROVED,2025-03-13T11:06:16.825000Z,2025-03-13T11:34:13.031000Z,1677.0,162,English,No,25,Female,Black,South Africa,South Africa,South Africa,English,Yes,DATA_EXPIRED
participant_37,APPROVED,2025-03-13T11:14:21.372000Z,2025-03-13T12:19:20Z,3899.0,733,"English, Greek",No,31,Male,White,Greece,Greece,Greece,Greek,DATA_EXPIRED,DATA_EXPIRED
participant_41,RETURNED,2025-03-13T11:09:00.283000Z,2025-03-13T11:39:55.170000Z,,67,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_54,APPROVED,2025-03-13T11:06:51.720000Z,2025-03-13T11:19:11.369000Z,740.0,628,"Bengali, English",No,30,Female,Asian,Bangladesh,Hungary,Bangladesh,Bengali,No,Full-Time
participant_43,RETURNED,2025-03-13T11:12:55.279000Z,,,50,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_47,APPROVED,2025-03-13T11:09:38.717000Z,2025-03-13T11:34:38.490000Z,1500.0,566,English,No,32,Male,Black,South Africa,South Africa,South Africa,English,No,Part-Time
participant_34,RETURNED,2025-03-13T11:14:11.636000Z,,,155,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_59,REJECTED,2025-03-13T11:16:15.360000Z,2025-03-13T11:28:49.232000Z,754.0,54,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_55,APPROVED,2025-03-13T11:17:04.424000Z,2025-03-13T11:58:19.005000Z,2475.0,197,"English, Other",No,31,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Part-Time
participant_35,RETURNED,2025-03-13T11:17:52.092000Z,,,44,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_50,APPROVED,2025-03-13T11:16:26.285000Z,2025-03-13T11:40:20.970000Z,1435.0,195,"English, Afrikaans, Other",No,54,Female,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Part-Time
