Participant id,Status,Started at,Completed at,Time taken,Total approvals,Fluent languages,Dyslexia,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
participant_364,APPROVED,2025-03-10T13:51:01.210000Z,2025-03-10T14:11:58.912000Z,1258.0,0,"Afrikaans, English",No,25,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
participant_381,APPROVED,2025-03-10T13:50:51.088000Z,2025-03-10T14:07:48.203000Z,1018.0,56,"Greek, English",No,23,Male,White,Greece,Greece,Greece,Greek,Yes,Unemployed (and job seeking)
participant_365,APPROVED,2025-03-10T13:51:48.334000Z,2025-03-10T14:04:27.285000Z,759.0,3753,English,No,56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
participant_372,APPROVED,2025-03-10T13:52:56.182000Z,2025-03-10T14:09:28.230000Z,993.0,287,"English, Portuguese",No,35,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
participant_382,APPROVED,2025-03-10T13:52:52.398000Z,2025-03-10T14:09:06.562000Z,975.0,29,English,No,26,Male,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
participant_383,RETURNED,2025-03-10T14:04:00.853000Z,,,29,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_371,TIMED-OUT,2025-03-10T13:55:06.670000Z,,63506.0,47,English,No,33,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
participant_387,RETURNED,2025-03-10T13:54:41.740000Z,,,62,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_373,APPROVED,2025-03-10T13:54:44.977000Z,2025-03-10T14:08:01.411000Z,797.0,280,English,No,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
participant_390,TIMED-OUT,2025-03-10T13:55:12.747000Z,,63500.0,30,English,No,28,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
participant_368,APPROVED,2025-03-10T13:54:52.094000Z,2025-03-10T14:07:19.270000Z,748.0,48,"English, Other",No,43,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
participant_376,APPROVED,2025-03-10T13:55:15.727000Z,2025-03-10T14:09:31.443000Z,856.0,187,English,No,36,Male,Asian,France,France,France,French,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
