id;session;timestamp;experiment;data.url;data.meta;data.sender;data.sender_type;data.sender_id;data.consent;data.share;data.;data.ended_on;data.duration;data.time_run;data.time_render;data.time_show;data.time_end;data.time_commit;data.timestamp;data.time_switch;data.ProlificID;data.img_idx_practice;data.counter_practice;data.valence;data.approach;data.img_idx;data.counter_main
1;session_447;11/03/2025 17:37;AIDEI7V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;3553,1;15758,4;15723,6;15756,5;19309,6;19309,8;2025-03-11T16:37:15.408Z;19323,1;;;;;;;
2;session_457;11/03/2025 17:42;AIDEI7V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;3697,2;10755,2;10734,766;10768,1;14465,3;14465,7;2025-03-11T16:42:36.435Z;14467,8;;;;;;;
3;session_452;11/03/2025 17:47;AIDEI7V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;25248,3;9445,4;9426;9459,3;34707,6;34708;2025-03-11T16:47:22.816Z;34722;;;;;;;
4;session_452;11/03/2025 17:47;AIDEI7V;;;Prolific ID;html.Form;1;;;;form submission;11176,2;34708,2;34705,74;34722;45898,2;45898,6;2025-03-11T16:47:34.007Z;45903,964;participant_506;;;;;;
5;session_459;11/03/2025 17:47;AIDEI7V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;11737,3;20558,9;20514,93;20663,8;32401,1;32403;2025-03-11T16:47:40.737Z;32408,356;;;;;;;
6;session_459;11/03/2025 17:47;AIDEI7V;;;Prolific ID;html.Form;1;;;;form submission;4036,844;32403,5;32408,356;32408,356;36445,2;36479,2;2025-03-11T16:47:44.813Z;36681,784;participant_486;;;;;;
7;session_459;11/03/2025 17:48;AIDEI7V;;;Experiment Information;html.Form;2;;;;form submission;13491,016;36479,6;36681,784;36681,784;50172,8;50174;2025-03-11T16:47:58.508Z;50217,6;;;;;;;
7;session_459;11/03/2025 17:48;AIDEI7V;;;Practice  Screen;canvas.Screen;3_0_0;;;;timeout;83,3;50174,4;50188,724;50217,6;50244,4;50244,9;2025-03-11T16:47:58.579Z;50300,9;;static\living room_0.png;0.0;;;;
8;session_459;11/03/2025 17:48;AIDEI7V;;;Practice Questionnaire;html.Form;3_0_1;;;;form submission;15708,4;50245,1;50244,4;50300,9;66009,3;66011,7;2025-03-11T16:48:14.345Z;66049,9;;static\living room_0.png;0.0;6.0;6.0;;
8;session_459;11/03/2025 17:48;AIDEI7V;;;Practice  Sequence;flow.Sequence;3_0;;;;completion;15791,7;50174,3;50188,724;50217,6;66009,3;66012,2;2025-03-11T16:48:14.346Z;66049,9;;static\living room_0.png;0.0;;;;
8;session_459;11/03/2025 17:48;AIDEI7V;;;Practice  Screen;canvas.Screen;3_1_0;;;;timeout;16,5;66012,5;66017,256;66049,9;66053,6;66054,5;2025-03-11T16:48:14.388Z;66066,4;;static\office room_24.png;1.0;;;;
9;session_459;11/03/2025 17:48;AIDEI7V;;;Practice Questionnaire;html.Form;3_1_1;;;;form submission;6775,8;66054,8;66053,6;66066,4;72842,2;72843,9;2025-03-11T16:48:21.178Z;72852,884;;static\office room_24.png;1.0;2.0;2.0;;
9;session_459;11/03/2025 17:48;AIDEI7V;;;Practice  Sequence;flow.Sequence;3_1;;;;completion;6792,3;66012,5;66017,256;66049,9;72842,2;72844,2;2025-03-11T16:48:21.178Z;72852,884;;static\office room_24.png;1.0;;;;
9;session_459;11/03/2025 17:48;AIDEI7V;;;Practice  Screen;canvas.Screen;3_2_0;;;;timeout;33,116;72844,4;72852,884;72852,884;72864,8;72865,8;2025-03-11T16:48:21.199Z;72886;;static\restaurant_80.png;2.0;;;;
10;session_459;11/03/2025 17:48;AIDEI7V;;;Practice Questionnaire;html.Form;3_2_1;;;;form submission;7626,4;72866,5;72864,8;72886;80512,4;80514,2;2025-03-11T16:48:28.848Z;80519,954;;static\restaurant_80.png;2.0;5.0;4.0;;
10;session_459;11/03/2025 17:48;AIDEI7V;;;Practice  Sequence;flow.Sequence;3_2;;;;completion;7659,516;72844,3;72852,884;72852,884;80512,4;80514,4;2025-03-11T16:48:28.848Z;80519,954;;static\restaurant_80.png;2.0;;;;
10;session_459;11/03/2025 17:48;AIDEI7V;;;Practice Loop;flow.Loop;3;;;;completion;30294,8;50174,3;50188,724;50217,6;80512,4;80514,6;2025-03-11T16:48:28.848Z;80519,954;;;;;;;
