id;session;timestamp;experiment;data.url;data.meta;data.sender;data.sender_type;data.sender_id;data.consent;data.share;data.;data.ended_on;data.duration;data.time_run;data.time_render;data.time_show;data.time_end;data.time_commit;data.timestamp;data.time_switch;data.ProlificID;data.img_idx_practice;data.counter_practice;data.valence;data.approach;data.img_idx;data.counter_main
1;session_110;14/03/2025 12:48;AIDEI12V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;13988,1;7895,7;7873,9;7907,8;21895,9;21896,1;2025-03-14T11:48:18.508Z;21923,7;;;;;;;
2;session_110;14/03/2025 12:48;AIDEI12V;;;Prolific ID;html.Form;1;;;;form submission;3501,7;21896,2;21907;21923,7;25425,4;25425,6;2025-03-14T11:48:22.037Z;25440,1;TESTFATIH;;;;;;
3;session_101;14/03/2025 13:11;AIDEI12V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;13570;11662,1;11628,592;11662,4;25232,4;25232,7;2025-03-14T12:11:05.554Z;25245,1;;;;;;;
4;session_104;14/03/2025 14:07;AIDEI12V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;3795,6;13484;13473,566;13490,4;17286;17286,3;2025-03-14T13:07:36.977Z;17290,1;;;;;;;
5;session_108;14/03/2025 14:17;AIDEI12V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;49800,3;53951;53951,34;53952,7;103753;103753;2025-03-14T13:17:00.364Z;103751,9;;;;;;;
6;session_108;14/03/2025 14:17;AIDEI12V;;;Prolific ID;html.Form;1;;;;form submission;10080,1;103754;103750,44;103751,9;113832;113832;2025-03-14T13:17:10.443Z;113835,04;participant_94;;;;;;
7;session_105;14/03/2025 14:17;AIDEI12V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;8037,6;13767;13767,2;13780,4;21818;21819;2025-03-14T13:17:29.763Z;21815,58;;;;;;;
8;session_86;14/03/2025 14:17;AIDEI12V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;26139,9;56779,6;56755,464;56788,5;82928,4;82928,6;2025-03-14T13:17:33.671Z;82937,9;;;;;;;
9;session_105;14/03/2025 14:17;AIDEI12V;;;Prolific ID;html.Form;1;;;;form submission;4628,42;21820;21814;21815,58;26444;26444;2025-03-14T13:17:34.388Z;26442,96;participant_100;;;;;;
10;session_86;14/03/2025 14:18;AIDEI12V;;;Prolific ID;html.Form;1;;;;form submission;5623,2;82928,8;82921,39;82937,9;88561,1;88561,3;2025-03-14T13:17:39.303Z;88571,198;participant_119;;;;;;
11;session_86;14/03/2025 14:18;AIDEI12V;;;Experiment Information;html.Form;2;;;;form submission;45567,102;88561,4;88571,198;88571,198;134138,3;134138,5;2025-03-14T13:18:24.881Z;134153,7;;;;;;;
11;session_86;14/03/2025 14:18;AIDEI12V;;;Practice  Screen;canvas.Screen;3_0_0;;;;timeout;16,1;134138,7;134136,73;134153,7;134156,8;134157;2025-03-14T13:18:24.899Z;134169,8;;static\living room_0.png;0.0;;;;
11;session_86;14/03/2025 14:18;AIDEI12V;;;Practice Questionnaire;html.Form;3_0_1;;;;form submission;7557,2;134157,1;134156,8;134169,8;141727;141727,1;2025-03-14T13:18:32.469Z;141736,4;;static\living room_0.png;0.0;5.0;6.0;;
11;session_86;14/03/2025 14:18;AIDEI12V;;;Practice  Sequence;flow.Sequence;3_0;;;;completion;7573,3;134138,6;134136,73;134153,7;141727;141727,3;2025-03-14T13:18:32.469Z;141736,4;;static\living room_0.png;0.0;;;;
11;session_86;14/03/2025 14:18;AIDEI12V;;;Practice  Screen;canvas.Screen;3_1_0;;;;timeout;16,5;141727,5;141719,7;141736,4;141738,5;141738,7;2025-03-14T13:18:32.481Z;141752,9;;static\office room_24.png;1.0;;;;
12;session_95;14/03/2025 14:18;AIDEI12V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;59940,6;12724,2;12705,6;12955,8;72896,4;72896,7;2025-03-14T13:18:04.285Z;72901,522;;;;;;;
13;session_108;14/03/2025 14:18;AIDEI12V;;;Experiment Information;html.Form;2;;;;form submission;57408,96;113832;113829,56;113835,04;171244;171246;2025-03-14T13:18:07.857Z;171250,78;;;;;;;
13;session_108;14/03/2025 14:18;AIDEI12V;;;Practice  Screen;canvas.Screen;3_0_0;;;;timeout;25;171246;171243,36;171250,78;171251;171251;2025-03-14T13:18:07.863Z;171275,78;;static\living room_0.png;0.0;;;;
14;session_88;14/03/2025 14:18;AIDEI12V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;59038,6;19352,4;19337,7;19370,9;78409,5;78409,9;2025-03-14T13:18:38.996Z;78413,2;;;;;;;
15;session_88;14/03/2025 14:18;AIDEI12V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;59038,6;19352,4;19337,7;19370,9;78409,5;78409,9;2025-03-14T13:18:38.996Z;78413,2;;;;;;;
16;session_86;14/03/2025 14:18;AIDEI12V;;;Practice Questionnaire;html.Form;3_1_1;;;;form submission;8955,3;141738,9;141738,5;141752,9;150708,2;150708,4;2025-03-14T13:18:41.450Z;150719,5;;static\office room_24.png;1.0;3.0;2.0;;
16;session_86;14/03/2025 14:18;AIDEI12V;;;Practice  Sequence;flow.Sequence;3_1;;;;completion;8971,8;141727,4;141719,7;141736,4;150708,2;150708,7;2025-03-14T13:18:41.451Z;150719,5;;static\office room_24.png;1.0;;;;
16;session_86;14/03/2025 14:18;AIDEI12V;;;Practice  Screen;canvas.Screen;3_2_0;;;;timeout;16,5;150708,8;150702,9;150719,5;150720,1;150720,3;2025-03-14T13:18:41.462Z;150736;;static\restaurant_80.png;2.0;;;;
17;session_108;14/03/2025 14:18;AIDEI12V;;;Practice Questionnaire;html.Form;3_0_1;;;;form submission;8646,22;171251;171251;171275,78;179922;179923;2025-03-14T13:18:16.533Z;179925,6;;static\living room_0.png;0.0;5.0;6.0;;
17;session_108;14/03/2025 14:18;AIDEI12V;;;Practice  Sequence;flow.Sequence;3_0;;;;completion;8671,22;171246;171243,36;171250,78;179922;179923;2025-03-14T13:18:16.534Z;179925,6;;static\living room_0.png;0.0;;;;
