Participant id,Status,Started at,Completed at,Time taken,Total approvals,Fluent languages,Dyslexia,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
participant_107,APPROVED,2025-03-14T13:16:05.489000Z,2025-03-14T13:39:52.117000Z,1427.0,121,English,No,32,Female,Black,Zimbabwe,South Africa,Zimbabwe,English,No,Full-Time
participant_94,APPROVED,2025-03-14T13:14:35.650000Z,2025-03-14T13:29:21.389000Z,886.0,184,"Arabic, English, French",No,22,Male,Other,Egypt,Hungary,Egypt,Arabic,Yes,Other
participant_119,APPROVED,2025-03-14T13:16:07.638000Z,2025-03-14T13:28:47.382000Z,760.0,66,English,No,50,Female,White,United Kingdom,South Africa,United Kingdom,English,No,Full-Time
participant_100,APPROVED,2025-03-14T13:17:06.250000Z,2025-03-14T13:27:04.687000Z,599.0,32,"English, Spanish",No,35,Male,Mixed,Spain,Spain,Spain,Spanish,No,Full-Time
participant_106,APPROVED,2025-03-14T13:16:46.780000Z,2025-03-14T13:27:18.711000Z,632.0,618,English,No,33,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
participant_124,APPROVED,2025-03-14T13:17:18.421000Z,2025-03-14T13:48:27.742000Z,1870.0,240,"Italian, English",No,23,Male,White,Italy,Italy,Italy,Italian,DATA_EXPIRED,DATA_EXPIRED
participant_128,APPROVED,2025-03-14T13:18:56.212000Z,2025-03-14T13:32:19.663000Z,804.0,408,"English, Portuguese, Spanish",No,23,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
participant_104,RETURNED,2025-03-14T13:20:13.587000Z,,,547,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_117,APPROVED,2025-03-14T13:20:42.399000Z,2025-03-14T13:37:44.766000Z,1023.0,116,"English, Spanish, Arabic",No,28,Female,Other,Morocco,Spain,Spain,Spanish,Yes,Full-Time
participant_105,APPROVED,2025-03-14T13:20:45.973000Z,2025-03-14T13:37:46.263000Z,1021.0,267,"English, Hindi, Telugu",No,34,Male,Asian,India,Finland,India,Telugu,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
participant_93,APPROVED,2025-03-14T13:21:46.115000Z,2025-03-14T13:30:25.397000Z,520.0,1259,English,No,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
participant_114,RETURNED,2025-03-14T13:22:47.707000Z,,,277,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_96,RETURNED,2025-03-14T13:22:36.698000Z,,,52,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_112,APPROVED,2025-03-14T13:22:48.572000Z,2025-03-14T13:38:08.391000Z,920.0,113,"Polish, English",No,22,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
participant_95,APPROVED,2025-03-14T13:23:02.731000Z,2025-03-14T13:38:23.441000Z,921.0,190,"English, Swedish",No,23,Male,White,Sweden,Sweden,Sweden,Swedish,No,Full-Time
participant_101,APPROVED,2025-03-14T13:23:59.376000Z,2025-03-14T14:06:42.930000Z,2564.0,72,"Other, English",No,31,Female,Black,South Africa,South Africa,South Africa,Other,No,Full-Time
participant_116,APPROVED,2025-03-14T13:27:40.553000Z,2025-03-14T13:47:37.825000Z,1198.0,71,"Afrikaans, English, Other",No,55,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
participant_99,APPROVED,2025-03-14T13:26:16.399000Z,2025-03-14T13:44:03.652000Z,1068.0,204,English,No,29,Male,Black,Nigeria,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
participant_113,APPROVED,2025-03-14T13:24:45.887000Z,2025-03-14T13:46:34.358000Z,1309.0,1072,English,No,30,Male,Mixed,South Africa,South Africa,South Africa,English,Yes,Full-Time
participant_102,APPROVED,2025-03-14T13:26:48.593000Z,2025-03-14T13:35:45.545000Z,537.0,168,"English, Greek",No,33,Male,White,Greece,Greece,Greece,Greek,No,Full-Time
participant_127,RETURNED,2025-03-14T13:28:23.409000Z,2025-03-14T13:45:08.948000Z,,28,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_110,APPROVED,2025-03-14T13:32:38.977000Z,2025-03-14T13:44:43.534000Z,725.0,155,English,No,25,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
participant_125,RETURNED,2025-03-14T13:29:28.622000Z,2025-03-14T13:40:10.228000Z,,11,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_118,RETURNED,2025-03-14T13:29:54.711000Z,2025-03-14T13:40:18.911000Z,,69,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_121,RETURNED,2025-03-14T13:31:45.820000Z,,,166,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_122,RETURNED,2025-03-14T14:03:38.720000Z,2025-03-14T15:03:18.545000Z,,5,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_92,APPROVED,2025-03-14T14:09:02.530000Z,2025-03-14T14:57:32.184000Z,2910.0,80,English,No,28,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
participant_120,TIMED-OUT,2025-03-14T14:24:20.467000Z,,326914.0,10,"Afrikaans, English",No,25,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
participant_123,RETURNED,2025-03-14T15:45:59.737000Z,2025-03-14T15:51:08.057000Z,,108,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_126,APPROVED,2025-03-17T16:01:20.688000Z,2025-03-17T16:13:17.820000Z,718.0,507,"German, English, Polish",No,29,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
participant_108,APPROVED,2025-03-17T16:04:50.400000Z,2025-03-17T16:14:09.372000Z,559.0,112,"English, Spanish",No,29,Male,Other,Mexico,Mexico,Mexico,Spanish,Yes,Full-Time
participant_97,APPROVED,2025-03-17T16:09:01.573000Z,2025-03-17T16:26:13.692000Z,1033.0,348,English,No,37,Male,Black,Nigeria,United Kingdom,Nigeria,English,DATA_EXPIRED,DATA_EXPIRED
participant_115,RETURNED,2025-03-17T16:23:11.816000Z,,,165,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
participant_103,APPROVED,2025-03-17T16:45:36.087000Z,2025-03-17T16:57:51.390000Z,736.0,31,English,No,41,Male,Other,Canada,Canada,Canada,English,No,Full-Time
participant_111,APPROVED,2025-04-04T08:10:30.095000Z,2025-04-04T08:27:03.997000Z,994.0,191,"Dutch, English, German",No,41,Male,White,Germany,Netherlands,Germany,German,No,Full-Time
